reviewer,article,content,sugestion,decision
David T. Wong,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.,content review,some sugestion,not accepted
Norman F. Schneidewind,Reduction of sample sizes in network sampling models.,content review,some sugestion,accepted
Adriano Meta,Reduction of sample sizes in network sampling models.,content review,some sugestion,accepted
Huijun Wu,Reduction of sample sizes in network sampling models.,content review,some sugestion,not accepted
Babak Farzad,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,content review,some sugestion,accepted
Chih-Yuan Yao,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,content review,some sugestion,accepted
Anton Schiela,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,content review,some sugestion,not accepted
Huiqin Xie,Prioritized Deployment of Dynamic Service Function Chains.,content review,some sugestion,accepted
Diogo Poças,Prioritized Deployment of Dynamic Service Function Chains.,content review,some sugestion,accepted
Abbas Heydari,Prioritized Deployment of Dynamic Service Function Chains.,content review,some sugestion,not accepted
Chia-Lung Yeh,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,content review,some sugestion,accepted
Naohisa Komatsu,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,content review,some sugestion,accepted
Bettina Klaus,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,content review,some sugestion,not accepted
Erik Meineche Schmidt,Analyzing the relationship between text features and grants productivity.,content review,some sugestion,accepted
Björn Berghausen,Analyzing the relationship between text features and grants productivity.,content review,some sugestion,accepted
Vera Tilson,Analyzing the relationship between text features and grants productivity.,content review,some sugestion,not accepted
Daniela Guaiana,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",content review,some sugestion,accepted
Anita Schöbel,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",content review,some sugestion,accepted
Aku Riihelä,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",content review,some sugestion,not accepted
Vera Tilson,EcoCyc: fusing model organism databases with systems biology.,content review,some sugestion,accepted
Le Deng,EcoCyc: fusing model organism databases with systems biology.,content review,some sugestion,accepted
S. Twomey,EcoCyc: fusing model organism databases with systems biology.,content review,some sugestion,not accepted
Arvind Ramanathan,Towards multidimensional subspace skyline analysis.,content review,some sugestion,accepted
Ilan Abramovici,Towards multidimensional subspace skyline analysis.,content review,some sugestion,accepted
Andrew J. Hinchley,Towards multidimensional subspace skyline analysis.,content review,some sugestion,not accepted
Danni Zhu,Dedication.,content review,some sugestion,accepted
Oliver Marschollek,Dedication.,content review,some sugestion,accepted
Ahmed M. Mohamed,Dedication.,content review,some sugestion,not accepted
Arun Mittal,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,content review,some sugestion,accepted
Dan Suciu,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,content review,some sugestion,accepted
Ilan Abramovici,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,content review,some sugestion,not accepted
Hen-Wai Tsao,An outcome of expert-oriented digitalization of university processes.,content review,some sugestion,accepted
Cynthia Jane Solomon,An outcome of expert-oriented digitalization of university processes.,content review,some sugestion,accepted
Erik Meineche Schmidt,An outcome of expert-oriented digitalization of university processes.,content review,some sugestion,not accepted
David T. Wong,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,content review,some sugestion,accepted
Vera Tilson,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,content review,some sugestion,accepted
Dan Suciu,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,content review,some sugestion,not accepted
Adel El-Faraskoury,Relativistic Effects in Bistatic Synthetic Aperture Radar.,content review,some sugestion,accepted
Dan Suciu,Relativistic Effects in Bistatic Synthetic Aperture Radar.,content review,some sugestion,accepted
Daniela Guaiana,Relativistic Effects in Bistatic Synthetic Aperture Radar.,content review,some sugestion,not accepted
Robert Finger,On the (Q-)index of 2-domination critical graphs.,content review,some sugestion,accepted
John T. Fredricksen,On the (Q-)index of 2-domination critical graphs.,content review,some sugestion,accepted
Amir Shmuel,On the (Q-)index of 2-domination critical graphs.,content review,some sugestion,not accepted
Roy Edgar Hansen,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,content review,some sugestion,accepted
Fabio Nobile,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,content review,some sugestion,accepted
David Perry,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,content review,some sugestion,not accepted
Kanad Chakraborty,A construction of vertex-transitive non-Cayley graphs.,content review,some sugestion,accepted
Chih-Yuan Yao,A construction of vertex-transitive non-Cayley graphs.,content review,some sugestion,accepted
Luca Schenato 0001,A construction of vertex-transitive non-Cayley graphs.,content review,some sugestion,not accepted
Moulay A. Barkatou,On turbo encodedBicm.,content review,some sugestion,accepted
Dan Suciu,On turbo encodedBicm.,content review,some sugestion,accepted
Vera Tilson,On turbo encodedBicm.,content review,some sugestion,not accepted
Amir Shmuel,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,content review,some sugestion,accepted
Naohisa Komatsu,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,content review,some sugestion,accepted
Arun Mittal,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,content review,some sugestion,not accepted
Amir Shmuel,Hybrid Blockchain Database Systems: Design and Performance.,content review,some sugestion,accepted
Norman F. Schneidewind,Hybrid Blockchain Database Systems: Design and Performance.,content review,some sugestion,accepted
Adriano Meta,Hybrid Blockchain Database Systems: Design and Performance.,content review,some sugestion,not accepted
Andrew J. Hinchley,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,content review,some sugestion,accepted
Diogo Poças,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,content review,some sugestion,accepted
Andrzej Omieljanowicz,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,content review,some sugestion,not accepted
Daniel Troy,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,content review,some sugestion,accepted
Astrid Tannert,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,content review,some sugestion,accepted
Dok Nam Lee,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,content review,some sugestion,not accepted
Amaro de Sousa,Crop rotation scheduling with adjacency constraints.,content review,some sugestion,accepted
Huijun Wu,Crop rotation scheduling with adjacency constraints.,content review,some sugestion,accepted
Arturo Molina 0001,Crop rotation scheduling with adjacency constraints.,content review,some sugestion,not accepted
Hermano Frid,What's happening.,content review,some sugestion,accepted
David Dagan Feng,What's happening.,content review,some sugestion,accepted
Wirt Atmar,What's happening.,content review,some sugestion,not accepted
Hai-Wei Sun,Long Time versus Steady State Optimal Control.,content review,some sugestion,accepted
Hady Pranoto,Long Time versus Steady State Optimal Control.,content review,some sugestion,accepted
Alper Korkmaz,Long Time versus Steady State Optimal Control.,content review,some sugestion,not accepted
Christopher I. Amos,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",content review,some sugestion,accepted
Abbas Heydari,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",content review,some sugestion,accepted
Andrew J. Hinchley,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",content review,some sugestion,not accepted
Cynthia Jane Solomon,OWA filters and forecasting models applied to electric power load time series.,content review,some sugestion,accepted
Diogo Poças,OWA filters and forecasting models applied to electric power load time series.,content review,some sugestion,accepted
Daniel Cullina,OWA filters and forecasting models applied to electric power load time series.,content review,some sugestion,not accepted
Dan Suciu,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,content review,some sugestion,accepted
Ilan Abramovici,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,content review,some sugestion,accepted
Naohisa Komatsu,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,content review,some sugestion,not accepted
Haowei Xu,Parallel Simulated Annealing.,content review,some sugestion,accepted
David Dagan Feng,Parallel Simulated Annealing.,content review,some sugestion,accepted
Jiang Ma,Parallel Simulated Annealing.,content review,some sugestion,not accepted
Luca Schenato 0001,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,content review,some sugestion,accepted
John T. Fredricksen,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,content review,some sugestion,accepted
Chi-Wang Shu,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,content review,some sugestion,not accepted
Arvind Ramanathan,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,content review,some sugestion,accepted
Kwok-Kai Soo,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,content review,some sugestion,accepted
S. Twomey,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,content review,some sugestion,not accepted
Daniela Guaiana,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,content review,some sugestion,accepted
Daniel Cullina,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,content review,some sugestion,accepted
C. G. Parthipan,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,content review,some sugestion,not accepted
Hermano Frid,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,content review,some sugestion,accepted
Fabio Nobile,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,content review,some sugestion,accepted
David Perry,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,content review,some sugestion,not accepted
André Raspaud,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",content review,some sugestion,accepted
Louise A. Mawn,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",content review,some sugestion,accepted
C. G. Parthipan,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",content review,some sugestion,not accepted
Dan Suciu,Methods for Comprehensive Analysis of Heat Supply Reliability.,content review,some sugestion,accepted
David Alan Grier,Methods for Comprehensive Analysis of Heat Supply Reliability.,content review,some sugestion,accepted
Daniela Guaiana,Methods for Comprehensive Analysis of Heat Supply Reliability.,content review,some sugestion,not accepted
Hady Pranoto,Automatic seizure detection using a highly adaptive directional time-frequency distribution.,content review,some sugestion,accepted
Osama Rashed Sayed,Automatic seizure detection using a highly adaptive directional time-frequency distribution.,content review,some sugestion,accepted
K. R. Ramakrishnan,Automatic seizure detection using a highly adaptive directional time-frequency distribution.,content review,some sugestion,not accepted
Haowei Xu,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,content review,some sugestion,accepted
Le Deng,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,content review,some sugestion,accepted
Adriano Meta,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,content review,some sugestion,not accepted
Chi-Wang Shu,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,content review,some sugestion,accepted
Keecheon Kim,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,content review,some sugestion,accepted
Constant Solimando,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,content review,some sugestion,not accepted
Hai-Wei Sun,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,content review,some sugestion,accepted
K. R. Ramakrishnan,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,content review,some sugestion,accepted
Naohisa Komatsu,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,content review,some sugestion,not accepted
K. R. Ramakrishnan,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.,content review,some sugestion,accepted
N. C. Simpson,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.,content review,some sugestion,accepted
Laurent Chupin,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.,content review,some sugestion,not accepted
Heike Siebert,Ensemble convolutional neural networks for pose estimation.,content review,some sugestion,accepted
Anna Maria Paganoni,Ensemble convolutional neural networks for pose estimation.,content review,some sugestion,accepted
Andrzej Omieljanowicz,Ensemble convolutional neural networks for pose estimation.,content review,some sugestion,not accepted
Le Deng,Robust load planning of trains in intermodal transportation.,content review,some sugestion,accepted
Moulay A. Barkatou,Robust load planning of trains in intermodal transportation.,content review,some sugestion,accepted
Qiqi Wang,Robust load planning of trains in intermodal transportation.,content review,some sugestion,not accepted
E. A. Mary Anita,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.,content review,some sugestion,accepted
Anita Schöbel,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.,content review,some sugestion,accepted
Di Li 0003,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.,content review,some sugestion,not accepted
Renbiao Wu,Implementation and performance analysis of various VM placement strategies in CloudSim.,content review,some sugestion,accepted
Danni Zhu,Implementation and performance analysis of various VM placement strategies in CloudSim.,content review,some sugestion,accepted
Chi-Sang Jung,Implementation and performance analysis of various VM placement strategies in CloudSim.,content review,some sugestion,not accepted
Di Li 0003,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,content review,some sugestion,accepted
Anton Schiela,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,content review,some sugestion,accepted
Arvind Ramanathan,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,content review,some sugestion,not accepted
Karl-Heinz Best,Blockchain Standard: Can We Reach Consensus?,content review,some sugestion,accepted
Heike Siebert,Blockchain Standard: Can We Reach Consensus?,content review,some sugestion,accepted
Bita Alipasandi,Blockchain Standard: Can We Reach Consensus?,content review,some sugestion,not accepted
Fabio Nobile,Lossy Compression of Communication Traces Using Recurrent Neural Networks.,content review,some sugestion,accepted
Andrew J. Hinchley,Lossy Compression of Communication Traces Using Recurrent Neural Networks.,content review,some sugestion,accepted
Amir Shmuel,Lossy Compression of Communication Traces Using Recurrent Neural Networks.,content review,some sugestion,not accepted
Kwok-Kai Soo,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,content review,some sugestion,accepted
Norman F. Schneidewind,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,content review,some sugestion,accepted
Guangyuan Pan,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,content review,some sugestion,not accepted
John T. Fredricksen,Collaborative adhocracies and mix-and-match technologies in emergency management.,content review,some sugestion,accepted
Aida Pliuskeviciene,Collaborative adhocracies and mix-and-match technologies in emergency management.,content review,some sugestion,accepted
Erik Meineche Schmidt,Collaborative adhocracies and mix-and-match technologies in emergency management.,content review,some sugestion,not accepted
Hen-Wai Tsao,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.,content review,some sugestion,accepted
Aida Pliuskeviciene,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.,content review,some sugestion,accepted
Adriano Meta,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.,content review,some sugestion,not accepted
Astrid Tannert,Visible light communication using TDMA optical beamforming.,content review,some sugestion,accepted
Vera Tilson,Visible light communication using TDMA optical beamforming.,content review,some sugestion,accepted
Alper Korkmaz,Visible light communication using TDMA optical beamforming.,content review,some sugestion,not accepted
Keecheon Kim,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.,content review,some sugestion,accepted
Hermano Frid,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.,content review,some sugestion,accepted
Danni Zhu,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.,content review,some sugestion,not accepted
Heike Siebert,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,content review,some sugestion,accepted
Adriano Meta,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,content review,some sugestion,accepted
Laurent Chupin,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,content review,some sugestion,not accepted
Arthur J. Davidson,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions.",content review,some sugestion,accepted
Di Li 0003,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions.",content review,some sugestion,accepted
Arturo Molina 0001,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions.",content review,some sugestion,not accepted
Constant Solimando,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,content review,some sugestion,accepted
Dan Suciu,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,content review,some sugestion,accepted
Danni Zhu,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,content review,some sugestion,not accepted
Arun Mittal,Post-anthropocentric creativity.,content review,some sugestion,accepted
Chaojiang Wu,Post-anthropocentric creativity.,content review,some sugestion,accepted
N. C. Simpson,Post-anthropocentric creativity.,content review,some sugestion,not accepted
Aida Pliuskeviciene,"Metaverse: Perspectives from graphics, interactions and visualization.",content review,some sugestion,accepted
John T. Fredricksen,"Metaverse: Perspectives from graphics, interactions and visualization.",content review,some sugestion,accepted
Karl-Heinz Best,"Metaverse: Perspectives from graphics, interactions and visualization.",content review,some sugestion,not accepted
Karl-Heinz Best,Resource management in network dynamics: An optimal approach to the admission control problem.,content review,some sugestion,accepted
Di Li 0003,Resource management in network dynamics: An optimal approach to the admission control problem.,content review,some sugestion,accepted
Fabio Nobile,Resource management in network dynamics: An optimal approach to the admission control problem.,content review,some sugestion,not accepted
Vera Tilson,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.,content review,some sugestion,accepted
Arvind Ramanathan,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.,content review,some sugestion,accepted
Di Li 0003,Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.,content review,some sugestion,not accepted
Arthur J. Davidson,A VLSI architecture for dynamic scene analysis.,content review,some sugestion,accepted
Andrzej Omieljanowicz,A VLSI architecture for dynamic scene analysis.,content review,some sugestion,accepted
Heike Siebert,A VLSI architecture for dynamic scene analysis.,content review,some sugestion,not accepted
Fabio Nobile,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,content review,some sugestion,accepted
Hen-Wai Tsao,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,content review,some sugestion,accepted
Anton Schiela,Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,content review,some sugestion,not accepted
Hermano Frid,Correction to: Mapping audiovisual content providers and resources in Greece.,content review,some sugestion,accepted
Cynthia Jane Solomon,Correction to: Mapping audiovisual content providers and resources in Greece.,content review,some sugestion,accepted
Kanad Chakraborty,Correction to: Mapping audiovisual content providers and resources in Greece.,content review,some sugestion,not accepted
Kwok-Kai Soo,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.,content review,some sugestion,accepted
Theodore Hailperin,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.,content review,some sugestion,accepted
Hidehisa Yoshida,Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.,content review,some sugestion,not accepted
Astrid Tannert,Effects of vocabulary training by computer in kindergarten.,content review,some sugestion,accepted
John T. Fredricksen,Effects of vocabulary training by computer in kindergarten.,content review,some sugestion,accepted
Qiqi Wang,Effects of vocabulary training by computer in kindergarten.,content review,some sugestion,not accepted
Le Deng,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.,content review,some sugestion,accepted
Aida Pliuskeviciene,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.,content review,some sugestion,accepted
Christopher I. Amos,Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.,content review,some sugestion,not accepted
Kwok-Kai Soo,Effective Resistance Preserving Directed Graph Symmetrization.,content review,some sugestion,accepted
Hai-Wei Sun,Effective Resistance Preserving Directed Graph Symmetrization.,content review,some sugestion,accepted
Anita Schöbel,Effective Resistance Preserving Directed Graph Symmetrization.,content review,some sugestion,not accepted
Huijun Wu,A simple model of retina-LGN transmission.,content review,some sugestion,accepted
Bita Alipasandi,A simple model of retina-LGN transmission.,content review,some sugestion,accepted
David Perry,A simple model of retina-LGN transmission.,content review,some sugestion,not accepted
Dariusz Fabianowski,Business pluralism of electronic prescriptions: state of development in Europe and the USA.,content review,some sugestion,accepted
Aku Riihelä,Business pluralism of electronic prescriptions: state of development in Europe and the USA.,content review,some sugestion,accepted
Anna Maria Paganoni,Business pluralism of electronic prescriptions: state of development in Europe and the USA.,content review,some sugestion,not accepted
Norman F. Schneidewind,On Adaptive Influence Maximization Under General Feedback Models.,content review,some sugestion,accepted
Lukasz Maksymiuk,On Adaptive Influence Maximization Under General Feedback Models.,content review,some sugestion,accepted
Abbas Heydari,On Adaptive Influence Maximization Under General Feedback Models.,content review,some sugestion,not accepted
Hidehisa Yoshida,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.,content review,some sugestion,accepted
Haowei Xu,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.,content review,some sugestion,accepted
Gabriel M. Silberman,Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.,content review,some sugestion,not accepted
Amir Shmuel,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.,content review,some sugestion,accepted
Roy Edgar Hansen,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.,content review,some sugestion,accepted
Oliver Marschollek,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.,content review,some sugestion,not accepted
Lianjun Xiao,A multi-stage spatio-temporal adaptive network for video super-resolution.,content review,some sugestion,accepted
Qiqi Wang,A multi-stage spatio-temporal adaptive network for video super-resolution.,content review,some sugestion,accepted
Anton Schiela,A multi-stage spatio-temporal adaptive network for video super-resolution.,content review,some sugestion,not accepted
Amir Shmuel,The strong connectivity of bubble-sort star graphs.,content review,some sugestion,accepted
Ilan Abramovici,The strong connectivity of bubble-sort star graphs.,content review,some sugestion,accepted
Anna Maria Paganoni,The strong connectivity of bubble-sort star graphs.,content review,some sugestion,not accepted
Björn Berghausen,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.,content review,some sugestion,accepted
Louise A. Mawn,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.,content review,some sugestion,accepted
Keecheon Kim,Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.,content review,some sugestion,not accepted
Theodosios Pavlidis,Introduction.,content review,some sugestion,accepted
Fabian Rothmaier,Introduction.,content review,some sugestion,accepted
Le Deng,Introduction.,content review,some sugestion,not accepted
Huiqin Xie,Mixing network coding and cooperation for reliable wireless communications.,content review,some sugestion,accepted
Laurent Chupin,Mixing network coding and cooperation for reliable wireless communications.,content review,some sugestion,accepted
C. G. Parthipan,Mixing network coding and cooperation for reliable wireless communications.,content review,some sugestion,not accepted
Chi-Wang Shu,Stochastic Models with Multistability and Extinction Levels.,content review,some sugestion,accepted
Chaojiang Wu,Stochastic Models with Multistability and Extinction Levels.,content review,some sugestion,accepted
Gabriel M. Silberman,Stochastic Models with Multistability and Extinction Levels.,content review,some sugestion,not accepted
Renbiao Wu,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.,content review,some sugestion,accepted
S. Twomey,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.,content review,some sugestion,accepted
Daniela Guaiana,Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.,content review,some sugestion,not accepted
Arun Mittal,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,content review,some sugestion,accepted
Bettina Klaus,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,content review,some sugestion,accepted
Haowei Xu,Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,content review,some sugestion,not accepted
Constant Solimando,Second-order statistics of system with ,content review,some sugestion,accepted
Jiaqi Zhang 0001,Second-order statistics of system with ,content review,some sugestion,accepted
S. Twomey,Second-order statistics of system with ,content review,some sugestion,not accepted
Alper Korkmaz,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,content review,some sugestion,accepted
David Dagan Feng,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,content review,some sugestion,accepted
Theodore Hailperin,Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,content review,some sugestion,not accepted
C. G. Parthipan,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic.",content review,some sugestion,accepted
Hen-Wai Tsao,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic.",content review,some sugestion,accepted
Christopher I. Amos,"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic.",content review,some sugestion,not accepted
John T. Fredricksen,Large scale content distribution protocols.,content review,some sugestion,accepted
Abbas Heydari,Large scale content distribution protocols.,content review,some sugestion,accepted
Hen-Wai Tsao,Large scale content distribution protocols.,content review,some sugestion,not accepted
Di Li 0003,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,content review,some sugestion,accepted
Diogo Poças,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,content review,some sugestion,accepted
Keecheon Kim,DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,content review,some sugestion,not accepted
Cynthia Jane Solomon,Next2You: Robust Copresence Detection Based on Channel State Information.,content review,some sugestion,accepted
Chaojiang Wu,Next2You: Robust Copresence Detection Based on Channel State Information.,content review,some sugestion,accepted
Aku Riihelä,Next2You: Robust Copresence Detection Based on Channel State Information.,content review,some sugestion,not accepted
Luca Schenato 0001,On numbers of vertices of maximum degree in the spanning trees of a graph.,content review,some sugestion,accepted
Anita Schöbel,On numbers of vertices of maximum degree in the spanning trees of a graph.,content review,some sugestion,accepted
Dok Nam Lee,On numbers of vertices of maximum degree in the spanning trees of a graph.,content review,some sugestion,not accepted
Heike Siebert,Special issue: Intelligent user interfaces.,content review,some sugestion,accepted
Akira Suzuki,Special issue: Intelligent user interfaces.,content review,some sugestion,accepted
Jan Camenisch,Special issue: Intelligent user interfaces.,content review,some sugestion,not accepted
Aida Pliuskeviciene,Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.,content review,some sugestion,accepted
