title,year,pages,key_words,abstract,DOI,type
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,2009.0,28,Databases|Computer Architecture|MLOps|Data Processing|Languages & Compilers|Indexing|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Machine Learning|Data Modeling,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,journals/ida/ChanBL09,full paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,2012.0,21,Computer Architecture|Operating Systems|Information Systems|Data Science|Databases,Aerial Robotics and the Quadrotor [From the Guest Editors].,journals/ram/MahonyK12,short paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,2009.0,16,Databases|Computer Architecture|Computer Networking|Data Processing|MLOps|Operating Systems|Big Data|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning,D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,journals/tit/EliaVAK09,demo paper
Comparing Data Mining Models in Academic Analytics.,2016.0,20,Databases|Computer Architecture|MLOps|Data Processing|Operating Systems|Indexing|Big Data|Distributed Systems|Data structures & Algorithms|Data Modeling,Comparing Data Mining Models in Academic Analytics.,journals/ijkbo/RajuS16,poster
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,2002.0,17,Computer Architecture|Operating Systems|Information Systems|Data Science|Databases|Machine Learning,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,journals/ijbc/Diaz-SierraF02,demo paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,2012.0,10,MLOps|Big Data|Distributed Systems|Computer Science|Data structures & Algorithms|Hardware|Databases|Machine Learning|Data Modeling,Optimal Pilot Symbol Power Allocation under Time-variant Channels.,journals/ejwcn/SimkoWR12,demo paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,2017.0,12,Computer Architecture|Computer Networking|Mathematics for Computer Science|Information Systems|Hardware|Data Science,Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,journals/tnn/Hao17,full paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,2018.0,21,Computer Architecture|Data Processing|Big Data|Computer Science|Mathematics for Computer Science|Data Science|Machine Learning|Data Modeling,Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,journals/sensors/PilatBJKTNSZ18,short paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,2022.0,24,Computer Architecture|MLOps|Languages & Compilers|Data Processing|Operating Systems|Indexing|Big Data|Hardware|Databases,Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,journals/access/YangS22,short paper
Real options analysis of investment in carbon capture and sequestration technology.,2012.0,17,Computer Architecture|Languages & Compilers|Operating Systems|Big Data|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Databases,Real options analysis of investment in carbon capture and sequestration technology.,journals/cms/HeydariOS12,demo paper
NFS version 4 Protocol.,2000.0,12,Computer Architecture|MLOps|Data Processing|Operating Systems|Big Data|Distributed Systems|Mathematics for Computer Science|Data structures & Algorithms|Hardware|Data Science|Machine Learning,NFS version 4 Protocol.,journals/rfc/rfc3010,demo paper
Gaussian beam launching for 3D physical modeling of propagation channels.,2009.0,15,Computer Architecture|MLOps|Data Processing|Computer Networking|Operating Systems|Computer Science|Mathematics for Computer Science|Information Systems|Machine Learning|Data Modeling,Gaussian beam launching for 3D physical modeling of propagation channels.,journals/adt/FluerasuL09,demo paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,2016.0,18,Computer Architecture|Computer Networking|Data Processing|MLOps|Operating Systems|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science,Improved hash and transmission method for larger packets in the RADIUS protocol.,journals/scn/KimHK16,full paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,2010.0,17,Computer Architecture|Computer Networking|Operating Systems|Computer Science|Data Science|Machine Learning,A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,journals/logcom/PliuskeviciusP10a,full paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",2018.0,25,Computer Networking|MLOps|Distributed Systems|Computer Science|Data Modeling,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",journals/siamsc/GaoHMY18,poster
PDF/A: A Viable Addition to the Preservation Toolkit.,2010.0,13,Databases|Computer Architecture|MLOps|Languages & Compilers|Data Processing|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Data Science|Databases,PDF/A: A Viable Addition to the Preservation Toolkit.,journals/dlib/NoonanMB10,full paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,2018.0,24,Computer Architecture|Languages & Compilers|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Data structures & Algorithms|Hardware|Data Science,Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,journals/ijmi/KhanUS18,demo paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,2017.0,15,Databases|Computer Networking|Languages & Compilers|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Data Science|Databases,Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,journals/js/YangWDHC17,poster
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,2013.0,20,Databases|Computer Architecture|Data Processing|Data structures & Algorithms|Hardware|Databases,Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,journals/neuroimage/TakahashiRPKPSBL13,short paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,2014.0,24,Databases|Computer Architecture|Computer Networking|Operating Systems|Indexing|Distributed Systems|Mathematics for Computer Science|Information Systems|Hardware|Databases|Machine Learning|Data Modeling,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,journals/jnw/Li14a,short paper
Explanation and description in computational neuroscience.,2011.0,29,Data Science|MLOps|Data Processing|Mathematics for Computer Science,Explanation and description in computational neuroscience.,journals/synthese/Kaplan11,demo paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,2021.0,25,Databases|Computer Architecture|MLOps|Languages & Compilers|Data Processing|Operating Systems|Computer Networking|Indexing|Big Data|Hardware|Data Science|Databases,Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,journals/sp/YeHJXXLWL21,poster
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,2018.0,21,Databases|Computer Architecture|MLOps|Computer Networking|Operating Systems|Mathematics for Computer Science|Information Systems|Hardware|Databases|Machine Learning|Data Modeling,Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,journals/bspc/MohantySBS18,poster
An unusual chaotic system and its control.,2013.0,21,Databases|Computer Networking|MLOps|Indexing|Computer Science|Data Science|Databases|Machine Learning|Data Modeling,An unusual chaotic system and its control.,journals/mcm/LiuPC13,demo paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,2017.0,11,Computer Architecture|Computer Networking|Big Data|Computer Science|Mathematics for Computer Science|Information Systems|Data Science,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,journals/tgrs/ChengWXWXP17,demo paper
Phone-level pronunciation scoring and assessment for interactive language learning.,2000.0,13,MLOps|Big Data|Computer Science|Data structures & Algorithms|Hardware|Data Science,Phone-level pronunciation scoring and assessment for interactive language learning.,journals/speech/WittY00,full paper
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",2011.0,29,Computer Networking|MLOps|Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",journals/itp/Gripenberg11,full paper
A comparative study between syringe-based and screw-based 3D food printers by computational simulation.,2019.0,16,Databases|Computer Architecture|MLOps|Languages & Compilers|Data Processing|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Data Science,A comparative study between syringe-based and screw-based 3D food printers by computational simulation.,journals/cea/GuoZB19,full paper
Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.,2012.0,23,Databases|MLOps|Data Processing|Languages & Compilers|Operating Systems|Big Data|Computer Science|Data Science,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.,journals/bioinformatics/LarhlimiBGSN12,demo paper
The Hierarchy of Distributional Chaos.,2015.0,10,Computer Architecture|MLOps|Languages & Compilers|Computer Networking|Operating Systems|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Machine Learning|Data Modeling,The Hierarchy of Distributional Chaos.,journals/ijbc/FuXW15,poster
"Life, IoT, and the Pursuit of Happiness.",2020.0,15,Computer Networking|Languages & Compilers|Indexing|Mathematics for Computer Science|Data Science|Databases|Machine Learning,"Life, IoT, and the Pursuit of Happiness.",journals/itpro/AhmadLD20,short paper
Query by Video Clip.,1999.0,20,Computer Architecture|MLOps|Languages & Compilers|Big Data|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Modeling,Query by Video Clip.,journals/mms/JainVW99,poster
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,2021.0,11,Operating Systems|Distributed Systems|Machine Learning|Mathematics for Computer Science,Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,journals/remotesensing/WangDLY21,demo paper
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,2018.0,24,Databases|Computer Architecture|Computer Networking|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Databases|Data Modeling,PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,journals/csysl/HanB18,demo paper
MODEM: multi-omics data envelopment and mining in maize.,2016.0,21,Computer Architecture|Data Processing|Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science,MODEM: multi-omics data envelopment and mining in maize.,journals/biodb/LiuWXTWZCLLLLYL16,short paper
E-Commerce Growth and the Changing Structure of the Retail Sales Industry.,2013.0,20,Databases|Computer Architecture|Data Processing|Languages & Compilers|Operating Systems|Data Science|Machine Learning,E-Commerce Growth and the Changing Structure of the Retail Sales Industry.,journals/ijebr/Ramcharran13,short paper
Enterprise Network Security - A New Approach.,1999.0,22,Indexing|Data Science|Big Data|Machine Learning,Enterprise Network Security - A New Approach.,journals/jnsm/SkudrnaL99,demo paper
An efficient image aesthetic analysis system using Hadoop.,2015.0,12,Computer Architecture|Computer Networking|Languages & Compilers|MLOps|Big Data|Distributed Systems|Information Systems|Hardware|Data Science|Machine Learning|Data Modeling,An efficient image aesthetic analysis system using Hadoop.,journals/spic/WangZCHXL15,demo paper
A fast graphics printing program for neurophysiological data.,1993.0,11,Computer Architecture|Computer Networking|MLOps|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases,A fast graphics printing program for neurophysiological data.,journals/bioinformatics/HuangCS93,short paper
A multimodal fusion approach for image captioning.,2019.0,21,Databases|Computer Architecture|Big Data|Distributed Systems|Computer Science|Data structures & Algorithms,A multimodal fusion approach for image captioning.,journals/ijon/ZhaoCG19,full paper
Contactless palmprint verification system using 2-D gabor filter and principal component analysis.,2019.0,27,Databases|Data Processing|Computer Science|Information Systems|Data Science|Data Modeling,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.,journals/iajit/VermaC19,full paper
Comments on a cryptographic key assignment scheme.,2005.0,20,Computer Architecture|Data Processing|Operating Systems|Indexing|Distributed Systems|Information Systems|Hardware|Databases|Machine Learning,Comments on a cryptographic key assignment scheme.,journals/csi/TangM05,poster
3D flow field estimation and assessment for live cell fluorescence microscopy.,2020.0,13,Data Processing|Big Data|Languages & Compilers|Data Modeling,3D flow field estimation and assessment for live cell fluorescence microscopy.,journals/bioinformatics/ManandharBWDRK20,demo paper
Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.,1998.0,29,Databases|MLOps|Data Processing|Indexing|Computer Science|Data structures & Algorithms|Hardware|Machine Learning,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.,journals/tbc/LiuT98,poster
Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.,2022.0,19,Computer Architecture|MLOps|Operating Systems|Indexing|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.,journals/jimaging/WissinkTSNFBSZ22,poster
A Cognitive Reformation.,2019.0,23,MLOps|Data Processing|Languages & Compilers|Indexing|Mathematics for Computer Science|Databases|Machine Learning|Data Modeling,A Cognitive Reformation.,journals/topics/Goel19,full paper
Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.,2015.0,21,Databases|Databases|Data Modeling|Mathematics for Computer Science,Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.,journals/axioms/NiticaT15,full paper
A deployment methodology of real-time industrial control applications in distributed controllers.,2008.0,20,Languages & Compilers|Indexing|Computer Science|Information Systems|Data structures & Algorithms|Machine Learning|Data Modeling,A deployment methodology of real-time industrial control applications in distributed controllers.,journals/cii/Khalgui08,full paper
Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.,2019.0,23,Computer Architecture|MLOps|Operating Systems|Big Data|Mathematics for Computer Science|Information Systems|Databases|Machine Learning,Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.,journals/access/CaoWXCL0ZQ19,poster
Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.,2020.0,25,Computer Architecture|Indexing|Distributed Systems|Mathematics for Computer Science|Information Systems|Hardware|Data Modeling,Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.,journals/jais/Cecez-Kecmanovic20,demo paper
Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.,2020.0,20,Data Processing|Indexing|Computer Science|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.,journals/networks/NatalinoSWF20,demo paper
Making Customer Service a Priority.,1996.0,10,Databases|Computer Architecture|Computer Networking|Languages & Compilers|Data Processing|Indexing|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Databases|Machine Learning,Making Customer Service a Priority.,journals/ism/Murray96,short paper
A real-time cloth draping simulation algorithm using conjugate harmonic functions.,2007.0,12,MLOps|Languages & Compilers|Operating Systems|Indexing|Distributed Systems|Computer Science|Mathematics for Computer Science|Hardware|Data Science,A real-time cloth draping simulation algorithm using conjugate harmonic functions.,journals/cg/KangL07,poster
Targeted estimation of heterogeneous treatment effect in observational survival analysis.,2020.0,20,Computer Architecture|Computer Networking|MLOps|Data Processing|Operating Systems|Indexing|Big Data|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Targeted estimation of heterogeneous treatment effect in observational survival analysis.,journals/jbi/ZhuG20,demo paper
Workshop der Nachwuchswissenschaftler/innen.,2008.0,26,Databases|MLOps|Data Processing|Indexing|Mathematics for Computer Science|Information Systems|Hardware|Data Science,Workshop der Nachwuchswissenschaftler/innen.,journals/wi/BarthP08,poster
MAP Symbol decoding in channels with error bursts.,2001.0,14,Databases|Computer Architecture|Computer Networking|Indexing|Data structures & Algorithms|Data Modeling,MAP Symbol decoding in channels with error bursts.,journals/tit/Turin01,demo paper
Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.,2014.0,23,Databases|Computer Architecture|MLOps|Languages & Compilers|Data Processing|Operating Systems|Indexing|Computer Science|Data structures & Algorithms|Data Science|Databases|Data Modeling,Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.,journals/tim/SanchezABSB14,poster
Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.,2015.0,21,Databases|Computer Architecture|Indexing|Distributed Systems|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.,journals/tfs/DengCJW15,demo paper
Reduction of sample sizes in network sampling models.,1993.0,21,Databases|Computer Architecture|Information Systems|Mathematics for Computer Science,Reduction of sample sizes in network sampling models.,journals/telsys/LeeW93,demo paper
Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,2019.0,19,Databases|Computer Architecture|MLOps|Big Data|Information Systems|Data Science|Databases|Machine Learning|Data Modeling,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,journals/mta/ZhouWLL19,full paper
Prioritized Deployment of Dynamic Service Function Chains.,2021.0,13,Databases|Computer Architecture|Computer Networking|MLOps|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Hardware|Data Science|Databases|Data Modeling,Prioritized Deployment of Dynamic Service Function Chains.,journals/ton/FarkianiBMWVT21,short paper
Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,2019.0,11,Computer Architecture|MLOps|Languages & Compilers|Data Processing|Computer Networking|Distributed Systems|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,journals/sensors/WuTWML19,poster
Analyzing the relationship between text features and grants productivity.,2021.0,16,Computer Networking|Machine Learning|Languages & Compilers|Hardware,Analyzing the relationship between text features and grants productivity.,journals/scientometrics/TohalinoQA21,short paper
"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",2005.0,11,Databases|Computer Networking|Indexing|Distributed Systems|Data Science|Databases|Machine Learning,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",journals/jssc/JaussiBJCMKSM05,full paper
EcoCyc: fusing model organism databases with systems biology.,2013.0,19,Computer Architecture|MLOps|Data Processing|Operating Systems|Indexing|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Data Science|Machine Learning|Data Modeling,EcoCyc: fusing model organism databases with systems biology.,journals/nar/KeselerMPSGBFHKKLMOPSSSTWWCGPK13,full paper
Towards multidimensional subspace skyline analysis.,2006.0,14,Databases|Computer Architecture|Computer Networking|MLOps|Data Processing|Indexing|Big Data|Information Systems|Data Science|Machine Learning|Data Modeling,Towards multidimensional subspace skyline analysis.,journals/tods/PeiYLJELWTYZ06,demo paper
Dedication.,1996.0,14,Computer Architecture|MLOps|Operating Systems|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Information Systems|Databases,Dedication.,journals/coap/Mangasarian96,short paper
Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,2007.0,20,Computer Architecture|Computer Networking|Languages & Compilers|Data Processing|Indexing|Big Data|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Hardware|Data Science|Databases|Data Modeling,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,journals/jgaa/WuM07,short paper
An outcome of expert-oriented digitalization of university processes.,2020.0,14,Computer Architecture|Information Systems|Data structures & Algorithms|Data Science|Data Modeling,An outcome of expert-oriented digitalization of university processes.,journals/eait/LagstedtLK20,poster
Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,2019.0,26,Databases|Computer Architecture|Operating Systems|Big Data|Distributed Systems|Computer Science|Information Systems|Data structures & Algorithms|Databases|Machine Learning|Data Modeling,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,journals/tits/ShinS19,demo paper
Relativistic Effects in Bistatic Synthetic Aperture Radar.,2014.0,16,Computer Architecture|Data Science|Data Processing|Data structures & Algorithms,Relativistic Effects in Bistatic Synthetic Aperture Radar.,journals/tgrs/KriegerZ14,short paper
On the (Q-)index of 2-domination critical graphs.,2023.0,17,Databases|Computer Networking|Data Processing|Operating Systems|Distributed Systems|Hardware|Data Modeling,On the (Q-)index of 2-domination critical graphs.,journals/amc/ChenHJW23,demo paper
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,2021.0,10,Databases|Computer Networking|MLOps|Languages & Compilers|Computer Science|Information Systems|Hardware|Databases|Data Modeling,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,journals/csda/AllassonniereC21,full paper
A construction of vertex-transitive non-Cayley graphs.,1994.0,15,Computer Architecture|MLOps|Operating Systems|Big Data|Distributed Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning,A construction of vertex-transitive non-Cayley graphs.,journals/ajc/JajcayS94,short paper
On turbo encodedBicm.,1999.0,15,Computer Architecture|Computer Networking|Languages & Compilers|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Machine Learning,On turbo encodedBicm.,journals/adt/AbramoviciS99,full paper
SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,2017.0,17,Computer Architecture|Computer Networking|MLOps|Operating Systems|Indexing|Distributed Systems|Data structures & Algorithms|Hardware,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,journals/tgrs/LiuLLZZW17,full paper
Hybrid Blockchain Database Systems: Design and Performance.,2022.0,18,Computer Architecture|Computer Networking|Data Processing|Languages & Compilers|Indexing|Big Data|Distributed Systems|Computer Science|Information Systems|Data structures & Algorithms|Hardware|Data Science|Databases|Machine Learning|Data Modeling,Hybrid Blockchain Database Systems: Design and Performance.,journals/pvldb/GeLORW22,poster
The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,2013.0,17,Computer Architecture|MLOps|Big Data|Distributed Systems|Data structures & Algorithms|Hardware,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,journals/jsw/DuC13,demo paper
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,1993.0,18,Databases|MLOps|Data Processing|Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Information Systems|Data Science|Databases,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,journals/tcad/HedenstiernaJ93a,short paper
Crop rotation scheduling with adjacency constraints.,2011.0,23,Databases|Computer Networking|Indexing|Big Data|Information Systems|Hardware|Data Science|Databases|Data Modeling,Crop rotation scheduling with adjacency constraints.,journals/anor/SantosMAS11,short paper
What's happening.,1999.0,23,Databases|Computer Architecture|MLOps|Data Processing|Operating Systems|Indexing|Distributed Systems|Computer Science|Information Systems|Data Science|Databases|Data Modeling,What's happening.,journals/interactions/Bruer99g,short paper
Long Time versus Steady State Optimal Control.,2013.0,25,Computer Architecture|Languages & Compilers|Indexing|Information Systems|Data Science|Databases,Long Time versus Steady State Optimal Control.,journals/siamco/PorrettaZ13,full paper
"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",2022.0,27,Languages & Compilers|Operating Systems|Big Data|Distributed Systems|Mathematics for Computer Science|Hardware,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",journals/scientometrics/SetubalFNARLFOC22,demo paper
OWA filters and forecasting models applied to electric power load time series.,2014.0,27,Computer Architecture|MLOps|Computer Networking|Big Data|Distributed Systems|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Databases|Machine Learning|Data Modeling,OWA filters and forecasting models applied to electric power load time series.,journals/evs/BalliniY14,demo paper
Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,2004.0,24,Computer Architecture|Computer Networking|MLOps|Indexing|Computer Science|Data structures & Algorithms|Hardware|Data Science|Machine Learning|Data Modeling,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,journals/jpdc/Djamegni04,poster
Parallel Simulated Annealing.,1992.0,19,Languages & Compilers|Data Processing|Operating Systems|Indexing|Big Data|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Data Science|Data Modeling,Parallel Simulated Annealing.,journals/rsa/Mazza92,poster
Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,2006.0,15,Databases|Computer Architecture|Languages & Compilers|Operating Systems|Indexing|Big Data|Information Systems|Hardware|Data Science|Machine Learning|Data Modeling,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,journals/jcmse/KobayashiSY06,poster
A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,2017.0,15,Computer Architecture|MLOps|Computer Networking|Operating Systems|Big Data|Information Systems|Data structures & Algorithms,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,journals/tsmc/SuCH17,poster
Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,2015.0,18,Computer Architecture|MLOps|Data Processing|Languages & Compilers|Mathematics for Computer Science|Information Systems|Data Science|Data Modeling,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,journals/micromachines/ChenZLWG15,demo paper
A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,2002.0,11,MLOps|Data Processing|Computer Networking|Indexing|Computer Science|Databases|Machine Learning,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,journals/jcisd/YiHZY02,short paper
"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",2020.0,11,Languages & Compilers|Operating Systems|Distributed Systems|Mathematics for Computer Science|Information Systems|Data structures & Algorithms|Databases|Machine Learning,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",journals/jrm/NagaiY20,poster
Methods for Comprehensive Analysis of Heat Supply Reliability.,2013.0,29,Computer Architecture|Big Data|Distributed Systems|Computer Science|Data Science,Methods for Comprehensive Analysis of Heat Supply Reliability.,journals/ijeoe/StennikovP13,demo paper
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,2018.0,16,Databases|MLOps|Operating Systems|Distributed Systems|Mathematics for Computer Science|Data structures & Algorithms|Data Science|Machine Learning,Automatic seizure detection using a highly adaptive directional time-frequency distribution.,journals/mssp/MohammadiKP18,short paper
HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,2022.0,28,Computer Architecture|Computer Networking|Data Processing|Languages & Compilers|Operating Systems|Indexing|Big Data|Distributed Systems|Hardware|Data Science|Machine Learning|Data Modeling,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,journals/eswa/Nunez-GomezG22,demo paper
Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,2019.0,28,Indexing|Big Data|Distributed Systems|Computer Science|Mathematics for Computer Science|Data structures & Algorithms|Hardware,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,journals/creativity/JinL19,full paper
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,2021.0,23,Computer Architecture|MLOps|Languages & Compilers|Big Data|Distributed Systems|Data Science|Databases|Machine Learning|Data Modeling,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,journals/fi/GutierrezPM21,short paper
