reviewer,article
Kwok-Kai Soo,A new data hiding approach for image steganography based on visual color sensitivity.
David Dagan Feng,A new data hiding approach for image steganography based on visual color sensitivity.
Kwok-Kai Soo,(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.
Daniel Cullina,(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.
Danni Zhu,(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.
Fabian Rothmaier,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
Hady Pranoto,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
M. I. Cohen,Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.
Arvind Ramanathan,Aerial Robotics and the Quadrotor [From the Guest Editors].
Hady Pranoto,Aerial Robotics and the Quadrotor [From the Guest Editors].
Daniel Troy,Aerial Robotics and the Quadrotor [From the Guest Editors].
Mazen O. Hasna,D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.
Arturo Molina 0001,D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.
Osama Rashed Sayed,D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.
Dok Nam Lee,Comparing Data Mining Models in Academic Analytics.
C. G. Parthipan,Comparing Data Mining Models in Academic Analytics.
Naohisa Komatsu,Comparing Data Mining Models in Academic Analytics.
Chih-Yuan Yao,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
C. G. Parthipan,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
Naohisa Komatsu,New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.
Chaojiang Wu,Optimal Pilot Symbol Power Allocation under Time-variant Channels.
Di Li 0003,Optimal Pilot Symbol Power Allocation under Time-variant Channels.
Arturo Molina 0001,Optimal Pilot Symbol Power Allocation under Time-variant Channels.
Cynthia Jane Solomon,Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.
Keecheon Kim,Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.
André Raspaud,Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.
Naohisa Komatsu,Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of 
Haowei Xu,Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of 
Andrew J. Hinchley,Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of 
Amir Shmuel,Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.
Lukasz Maksymiuk,Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.
Gabriel M. Silberman,Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.
Adriano Meta,Real options analysis of investment in carbon capture and sequestration technology.
John T. Fredricksen,Real options analysis of investment in carbon capture and sequestration technology.
Jiaqi Zhang 0001,Real options analysis of investment in carbon capture and sequestration technology.
Osama Rashed Sayed,NFS version 4 Protocol.
Andrzej Omieljanowicz,NFS version 4 Protocol.
Di Li 0003,NFS version 4 Protocol.
Ahmed M. Mohamed,Gaussian beam launching for 3D physical modeling of propagation channels.
Wirt Atmar,Gaussian beam launching for 3D physical modeling of propagation channels.
Di Li 0003,Gaussian beam launching for 3D physical modeling of propagation channels.
Ahmed M. Mohamed,Improved hash and transmission method for larger packets in the RADIUS protocol.
Huiqin Xie,Improved hash and transmission method for larger packets in the RADIUS protocol.
Kanad Chakraborty,Improved hash and transmission method for larger packets in the RADIUS protocol.
André Raspaud,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
M. I. Cohen,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
Theodore Hailperin,A New Method to Obtain Termination in Backward Proof Search for Modal Logic 
Hidehisa Yoshida,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model."
Ming Zhang,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model."
Anna Maria Paganoni,"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model."
C. G. Parthipan,PDF/A: A Viable Addition to the Preservation Toolkit.
Danni Zhu,PDF/A: A Viable Addition to the Preservation Toolkit.
Di Li 0003,PDF/A: A Viable Addition to the Preservation Toolkit.
Amaro de Sousa,Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.
Dan Suciu,Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.
Christopher I. Amos,Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.
Adriano Meta,Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.
Fabian Rothmaier,Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.
Hady Pranoto,Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.
Luca Schenato 0001,Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.
Moulay A. Barkatou,Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.
Hidehisa Yoshida,Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.
Chih-Yuan Yao,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.
John T. Fredricksen,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.
Haowei Xu,Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.
Haowei Xu,Explanation and description in computational neuroscience.
Di Li 0003,Explanation and description in computational neuroscience.
Kwok-Kai Soo,Explanation and description in computational neuroscience.
Lianjun Xiao,Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.
Oliver Marschollek,Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.
David Perry,Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.
Aida Pliuskeviciene,Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.
Renbiao Wu,Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.
Amaro de Sousa,Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.
C. G. Parthipan,An unusual chaotic system and its control.
Moulay A. Barkatou,An unusual chaotic system and its control.
Jan Camenisch,An unusual chaotic system and its control.
S. Twomey,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.
Hady Pranoto,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.
Duyan Bi,Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.
Daniel Troy,Phone-level pronunciation scoring and assessment for interactive language learning.
David Perry,Phone-level pronunciation scoring and assessment for interactive language learning.
Anton Schiela,Phone-level pronunciation scoring and assessment for interactive language learning.
Jiang Ma,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
Anna Maria Paganoni,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
Luca Schenato 0001,"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas."
Heike Siebert,A comparative study between syringe-based and screw-based 3D food printers by computational simulation.
Hidehisa Yoshida,A comparative study between syringe-based and screw-based 3D food printers by computational simulation.
Guangyuan Pan,A comparative study between syringe-based and screw-based 3D food printers by computational simulation.
Bita Alipasandi,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.
Heike Siebert,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.
David T. Wong,Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.
Guangyuan Pan,The Hierarchy of Distributional Chaos.
Keecheon Kim,The Hierarchy of Distributional Chaos.
Bita Alipasandi,The Hierarchy of Distributional Chaos.
Ilan Abramovici,"Life, IoT, and the Pursuit of Happiness."
Chih-Yuan Yao,"Life, IoT, and the Pursuit of Happiness."
Ming Zhang,"Life, IoT, and the Pursuit of Happiness."
Alper Korkmaz,Query by Video Clip.
S. Twomey,Query by Video Clip.
M. I. Cohen,Query by Video Clip.
David Dagan Feng,Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.
Babak Farzad,Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.
David Alan Grier,Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.
Kwok-Kai Soo,PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.
Moulay A. Barkatou,PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.
E. Lerzan Örmeci,PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.
K. R. Ramakrishnan,MODEM: multi-omics data envelopment and mining in maize.
David Perry,MODEM: multi-omics data envelopment and mining in maize.
John T. Fredricksen,MODEM: multi-omics data envelopment and mining in maize.
C. G. Parthipan,E-Commerce Growth and the Changing Structure of the Retail Sales Industry.
David Dagan Feng,E-Commerce Growth and the Changing Structure of the Retail Sales Industry.
Danni Zhu,E-Commerce Growth and the Changing Structure of the Retail Sales Industry.
Renbiao Wu,Enterprise Network Security - A New Approach.
Alper Korkmaz,Enterprise Network Security - A New Approach.
Constant Solimando,Enterprise Network Security - A New Approach.
Arturo Molina 0001,An efficient image aesthetic analysis system using Hadoop.
Constant Solimando,An efficient image aesthetic analysis system using Hadoop.
Amaro de Sousa,An efficient image aesthetic analysis system using Hadoop.
Diogo Poças,A fast graphics printing program for neurophysiological data.
S. Twomey,A fast graphics printing program for neurophysiological data.
Theodosios Pavlidis,A fast graphics printing program for neurophysiological data.
Laurent Chupin,A multimodal fusion approach for image captioning.
Anna Maria Paganoni,A multimodal fusion approach for image captioning.
Ming Zhang,A multimodal fusion approach for image captioning.
Fabio Nobile,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.
Chia-Lung Yeh,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.
Adriano Meta,Contactless palmprint verification system using 2-D gabor filter and principal component analysis.
Lukasz Maksymiuk,Comments on a cryptographic key assignment scheme.
David Alan Grier,Comments on a cryptographic key assignment scheme.
Moulay A. Barkatou,Comments on a cryptographic key assignment scheme.
Huiqin Xie,3D flow field estimation and assessment for live cell fluorescence microscopy.
Constant Solimando,3D flow field estimation and assessment for live cell fluorescence microscopy.
Vera Tilson,3D flow field estimation and assessment for live cell fluorescence microscopy.
Alper Korkmaz,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.
Theodosios Pavlidis,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.
Aida Pliuskeviciene,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.
Moulay A. Barkatou,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.
K. R. Ramakrishnan,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.
Oliver Marschollek,Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.
Moulay A. Barkatou,A Cognitive Reformation.
Daniela Guaiana,A Cognitive Reformation.
Kwok-Kai Soo,A Cognitive Reformation.
Chi-Sang Jung,Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.
Chia-Lung Yeh,Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.
Hermano Frid,Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.
Le Deng,A deployment methodology of real-time industrial control applications in distributed controllers.
K. R. Ramakrishnan,A deployment methodology of real-time industrial control applications in distributed controllers.
Ahmed M. Mohamed,A deployment methodology of real-time industrial control applications in distributed controllers.
Hen-Wai Tsao,Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.
André Raspaud,Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.
Adel El-Faraskoury,Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.
Osama Rashed Sayed,Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.
Abbas Heydari,Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.
Norman F. Schneidewind,Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.
Mazen O. Hasna,Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.
Huijun Wu,Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.
Ahmed M. Mohamed,Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.
Huijun Wu,Making Customer Service a Priority.
Osama Rashed Sayed,Making Customer Service a Priority.
Akira Suzuki,Making Customer Service a Priority.
E. A. Mary Anita,A real-time cloth draping simulation algorithm using conjugate harmonic functions.
Bita Alipasandi,A real-time cloth draping simulation algorithm using conjugate harmonic functions.
Babak Farzad,A real-time cloth draping simulation algorithm using conjugate harmonic functions.
Gabriel M. Silberman,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
E. A. Mary Anita,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
Hen-Wai Tsao,Targeted estimation of heterogeneous treatment effect in observational survival analysis.
Ming Zhang,Workshop der Nachwuchswissenschaftler/innen.
Jiaqi Zhang 0001,Workshop der Nachwuchswissenschaftler/innen.
Kwok-Kai Soo,Workshop der Nachwuchswissenschaftler/innen.
Constant Solimando,MAP Symbol decoding in channels with error bursts.
Wirt Atmar,MAP Symbol decoding in channels with error bursts.
Aida Pliuskeviciene,MAP Symbol decoding in channels with error bursts.
Wirt Atmar,Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.
Hermano Frid,Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.
Arvind Ramanathan,Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.
K. R. Ramakrishnan,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.
Anita Schöbel,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.
David T. Wong,Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.
Norman F. Schneidewind,Reduction of sample sizes in network sampling models.
Adriano Meta,Reduction of sample sizes in network sampling models.
Huijun Wu,Reduction of sample sizes in network sampling models.
Babak Farzad,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.
Chih-Yuan Yao,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.
Anton Schiela,Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.
Huiqin Xie,Prioritized Deployment of Dynamic Service Function Chains.
Diogo Poças,Prioritized Deployment of Dynamic Service Function Chains.
Abbas Heydari,Prioritized Deployment of Dynamic Service Function Chains.
Chia-Lung Yeh,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.
Naohisa Komatsu,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.
Bettina Klaus,Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.
Erik Meineche Schmidt,Analyzing the relationship between text features and grants productivity.
Björn Berghausen,Analyzing the relationship between text features and grants productivity.
Vera Tilson,Analyzing the relationship between text features and grants productivity.
Daniela Guaiana,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew."
Anita Schöbel,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew."
Aku Riihelä,"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew."
Vera Tilson,EcoCyc: fusing model organism databases with systems biology.
Le Deng,EcoCyc: fusing model organism databases with systems biology.
S. Twomey,EcoCyc: fusing model organism databases with systems biology.
Arvind Ramanathan,Towards multidimensional subspace skyline analysis.
Ilan Abramovici,Towards multidimensional subspace skyline analysis.
Andrew J. Hinchley,Towards multidimensional subspace skyline analysis.
Danni Zhu,Dedication.
Oliver Marschollek,Dedication.
Ahmed M. Mohamed,Dedication.
Arun Mittal,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.
Dan Suciu,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.
Ilan Abramovici,Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.
Hen-Wai Tsao,An outcome of expert-oriented digitalization of university processes.
Cynthia Jane Solomon,An outcome of expert-oriented digitalization of university processes.
Erik Meineche Schmidt,An outcome of expert-oriented digitalization of university processes.
David T. Wong,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.
Vera Tilson,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.
Dan Suciu,Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.
Adel El-Faraskoury,Relativistic Effects in Bistatic Synthetic Aperture Radar.
Dan Suciu,Relativistic Effects in Bistatic Synthetic Aperture Radar.
Daniela Guaiana,Relativistic Effects in Bistatic Synthetic Aperture Radar.
Robert Finger,On the (Q-)index of 2-domination critical graphs.
John T. Fredricksen,On the (Q-)index of 2-domination critical graphs.
Amir Shmuel,On the (Q-)index of 2-domination critical graphs.
Roy Edgar Hansen,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.
Fabio Nobile,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.
David Perry,A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.
Kanad Chakraborty,A construction of vertex-transitive non-Cayley graphs.
Chih-Yuan Yao,A construction of vertex-transitive non-Cayley graphs.
Luca Schenato 0001,A construction of vertex-transitive non-Cayley graphs.
Moulay A. Barkatou,On turbo encodedBicm.
Dan Suciu,On turbo encodedBicm.
Vera Tilson,On turbo encodedBicm.
Amir Shmuel,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.
Naohisa Komatsu,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.
Arun Mittal,SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.
Amir Shmuel,Hybrid Blockchain Database Systems: Design and Performance.
Norman F. Schneidewind,Hybrid Blockchain Database Systems: Design and Performance.
Adriano Meta,Hybrid Blockchain Database Systems: Design and Performance.
Andrew J. Hinchley,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.
Diogo Poças,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.
Andrzej Omieljanowicz,The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.
Daniel Troy,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
Astrid Tannert,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
Dok Nam Lee,The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.
Amaro de Sousa,Crop rotation scheduling with adjacency constraints.
Huijun Wu,Crop rotation scheduling with adjacency constraints.
Arturo Molina 0001,Crop rotation scheduling with adjacency constraints.
Hermano Frid,What's happening.
David Dagan Feng,What's happening.
Wirt Atmar,What's happening.
Hai-Wei Sun,Long Time versus Steady State Optimal Control.
Hady Pranoto,Long Time versus Steady State Optimal Control.
Alper Korkmaz,Long Time versus Steady State Optimal Control.
Christopher I. Amos,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965."
Abbas Heydari,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965."
Andrew J. Hinchley,"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965."
Cynthia Jane Solomon,OWA filters and forecasting models applied to electric power load time series.
Diogo Poças,OWA filters and forecasting models applied to electric power load time series.
Daniel Cullina,OWA filters and forecasting models applied to electric power load time series.
Dan Suciu,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.
Ilan Abramovici,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.
Naohisa Komatsu,Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.
Haowei Xu,Parallel Simulated Annealing.
David Dagan Feng,Parallel Simulated Annealing.
Jiang Ma,Parallel Simulated Annealing.
Luca Schenato 0001,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.
John T. Fredricksen,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.
Chi-Wang Shu,Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.
Arvind Ramanathan,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.
Kwok-Kai Soo,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.
S. Twomey,A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.
Daniela Guaiana,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.
Daniel Cullina,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.
C. G. Parthipan,Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.
Hermano Frid,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
Fabio Nobile,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
David Perry,A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.
André Raspaud,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems."
Louise A. Mawn,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems."
C. G. Parthipan,"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems."
Dan Suciu,Methods for Comprehensive Analysis of Heat Supply Reliability.
David Alan Grier,Methods for Comprehensive Analysis of Heat Supply Reliability.
Daniela Guaiana,Methods for Comprehensive Analysis of Heat Supply Reliability.
Hady Pranoto,Automatic seizure detection using a highly adaptive directional time-frequency distribution.
Osama Rashed Sayed,Automatic seizure detection using a highly adaptive directional time-frequency distribution.
K. R. Ramakrishnan,Automatic seizure detection using a highly adaptive directional time-frequency distribution.
Haowei Xu,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.
Le Deng,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.
Adriano Meta,HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.
Chi-Wang Shu,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.
Keecheon Kim,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.
Constant Solimando,Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.
Hai-Wei Sun,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.
K. R. Ramakrishnan,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.
Naohisa Komatsu,Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.
K. R. Ramakrishnan,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.
N. C. Simpson,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.
Laurent Chupin,Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.
Heike Siebert,Ensemble convolutional neural networks for pose estimation.
Anna Maria Paganoni,Ensemble convolutional neural networks for pose estimation.
Andrzej Omieljanowicz,Ensemble convolutional neural networks for pose estimation.
Le Deng,Robust load planning of trains in intermodal transportation.
Moulay A. Barkatou,Robust load planning of trains in intermodal transportation.
Qiqi Wang,Robust load planning of trains in intermodal transportation.
E. A. Mary Anita,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.
Anita Schöbel,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.
Di Li 0003,Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.
Renbiao Wu,Implementation and performance analysis of various VM placement strategies in CloudSim.
Danni Zhu,Implementation and performance analysis of various VM placement strategies in CloudSim.
Chi-Sang Jung,Implementation and performance analysis of various VM placement strategies in CloudSim.
Di Li 0003,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.
Anton Schiela,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.
Arvind Ramanathan,Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.
Karl-Heinz Best,Blockchain Standard: Can We Reach Consensus?
Heike Siebert,Blockchain Standard: Can We Reach Consensus?
Bita Alipasandi,Blockchain Standard: Can We Reach Consensus?
Fabio Nobile,Lossy Compression of Communication Traces Using Recurrent Neural Networks.
Andrew J. Hinchley,Lossy Compression of Communication Traces Using Recurrent Neural Networks.
Amir Shmuel,Lossy Compression of Communication Traces Using Recurrent Neural Networks.
Kwok-Kai Soo,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.
Norman F. Schneidewind,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.
Guangyuan Pan,Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.
John T. Fredricksen,Collaborative adhocracies and mix-and-match technologies in emergency management.
Aida Pliuskeviciene,Collaborative adhocracies and mix-and-match technologies in emergency management.
Erik Meineche Schmidt,Collaborative adhocracies and mix-and-match technologies in emergency management.
Hen-Wai Tsao,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Aida Pliuskeviciene,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Adriano Meta,Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.
Astrid Tannert,Visible light communication using TDMA optical beamforming.
Vera Tilson,Visible light communication using TDMA optical beamforming.
Alper Korkmaz,Visible light communication using TDMA optical beamforming.
Keecheon Kim,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.
Hermano Frid,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.
Danni Zhu,NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.
Heike Siebert,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.
Adriano Meta,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.
Laurent Chupin,Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.
Arthur J. Davidson,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions."
Di Li 0003,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions."
Arturo Molina 0001,"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions."
Constant Solimando,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Dan Suciu,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Danni Zhu,Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).
Arun Mittal,Post-anthropocentric creativity.
Chaojiang Wu,Post-anthropocentric creativity.
N. C. Simpson,Post-anthropocentric creativity.
