name,area,type
Black-box attacks against log anomaly detection with adversarial examples.,Data Modeling,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,MLOps,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Computer Networking,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Operating Systems,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Data structures & Algorithms,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Hardware,paper
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Machine Learning,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Computer Architecture,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Computer Networking,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Languages & Compilers,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,MLOps,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Indexing,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Big Data,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Distributed Systems,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Mathematics for Computer Science,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Information Systems,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Hardware,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Data Science,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Databases,paper
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Machine Learning,paper
A central limit theorem for normalized products of random matrices.,Computer Architecture,paper
A central limit theorem for normalized products of random matrices.,Computer Networking,paper
A central limit theorem for normalized products of random matrices.,MLOps,paper
A central limit theorem for normalized products of random matrices.,Data Processing,paper
A central limit theorem for normalized products of random matrices.,Operating Systems,paper
A central limit theorem for normalized products of random matrices.,Languages & Compilers,paper
A central limit theorem for normalized products of random matrices.,Indexing,paper
A central limit theorem for normalized products of random matrices.,Computer Science,paper
A central limit theorem for normalized products of random matrices.,Data structures & Algorithms,paper
A central limit theorem for normalized products of random matrices.,Hardware,paper
A central limit theorem for normalized products of random matrices.,Data Science,paper
A central limit theorem for normalized products of random matrices.,Machine Learning,paper
A central limit theorem for normalized products of random matrices.,Data Modeling,paper
On evolutionary computing in multi-ship trajectory planning.,Data Management,paper
On evolutionary computing in multi-ship trajectory planning.,Computer Architecture,paper
On evolutionary computing in multi-ship trajectory planning.,Computer Networking,paper
On evolutionary computing in multi-ship trajectory planning.,MLOps,paper
On evolutionary computing in multi-ship trajectory planning.,Languages & Compilers,paper
On evolutionary computing in multi-ship trajectory planning.,Operating Systems,paper
On evolutionary computing in multi-ship trajectory planning.,Data Processing,paper
On evolutionary computing in multi-ship trajectory planning.,Distributed Systems,paper
On evolutionary computing in multi-ship trajectory planning.,Computer Science,paper
On evolutionary computing in multi-ship trajectory planning.,Mathematics for Computer Science,paper
On evolutionary computing in multi-ship trajectory planning.,Data Science,paper
On evolutionary computing in multi-ship trajectory planning.,Databases,paper
On evolutionary computing in multi-ship trajectory planning.,Machine Learning,paper
"Gateways, architectures, and heffalumps.",Data Management,paper
"Gateways, architectures, and heffalumps.",Computer Networking,paper
"Gateways, architectures, and heffalumps.",MLOps,paper
"Gateways, architectures, and heffalumps.",Languages & Compilers,paper
"Gateways, architectures, and heffalumps.",Indexing,paper
"Gateways, architectures, and heffalumps.",Distributed Systems,paper
"Gateways, architectures, and heffalumps.",Information Systems,paper
"Gateways, architectures, and heffalumps.",Data structures & Algorithms,paper
"Gateways, architectures, and heffalumps.",Data Science,paper
"Gateways, architectures, and heffalumps.",Databases,paper
"Gateways, architectures, and heffalumps.",Machine Learning,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Computer Networking,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,MLOps,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Indexing,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Big Data,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Distributed Systems,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Computer Science,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Information Systems,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Hardware,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Data Science,paper
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Data Modeling,paper
Numerical simulation of stochastic gene circuits.,Data Management,paper
Numerical simulation of stochastic gene circuits.,Computer Networking,paper
Numerical simulation of stochastic gene circuits.,MLOps,paper
Numerical simulation of stochastic gene circuits.,Operating Systems,paper
Numerical simulation of stochastic gene circuits.,Mathematics for Computer Science,paper
Numerical simulation of stochastic gene circuits.,Information Systems,paper
Numerical simulation of stochastic gene circuits.,Hardware,paper
Numerical simulation of stochastic gene circuits.,Data Science,paper
Numerical simulation of stochastic gene circuits.,Machine Learning,paper
Numerical simulation of stochastic gene circuits.,Data Modeling,paper
The significance of microprogramming.,Data Management,paper
The significance of microprogramming.,Computer Architecture,paper
The significance of microprogramming.,Computer Networking,paper
The significance of microprogramming.,Languages & Compilers,paper
The significance of microprogramming.,Indexing,paper
The significance of microprogramming.,Distributed Systems,paper
The significance of microprogramming.,Computer Science,paper
The significance of microprogramming.,Mathematics for Computer Science,paper
The significance of microprogramming.,Data structures & Algorithms,paper
The significance of microprogramming.,Hardware,paper
The significance of microprogramming.,Data Science,paper
The significance of microprogramming.,Databases,paper
The significance of microprogramming.,Data Modeling,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Data Management,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Computer Architecture,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Languages & Compilers,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Operating Systems,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Indexing,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Distributed Systems,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Information Systems,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Data Science,paper
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Machine Learning,paper
Internetalization of End-Users.,Data Management,paper
Internetalization of End-Users.,Computer Architecture,paper
Internetalization of End-Users.,Data Processing,paper
Internetalization of End-Users.,Indexing,paper
Internetalization of End-Users.,Distributed Systems,paper
Internetalization of End-Users.,Computer Science,paper
Internetalization of End-Users.,Mathematics for Computer Science,paper
Internetalization of End-Users.,Hardware,paper
Internetalization of End-Users.,Data Science,paper
Internetalization of End-Users.,Machine Learning,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Computer Architecture,paper
A new data hiding approach for image steganography based on visual color sensitivity.,MLOps,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Languages & Compilers,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Operating Systems,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Indexing,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Big Data,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Distributed Systems,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Computer Science,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Hardware,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Data Science,paper
A new data hiding approach for image steganography based on visual color sensitivity.,Machine Learning,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Big Data,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Distributed Systems,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Computer Science,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Information Systems,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Machine Learning,paper
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Data Modeling,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Data Management,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Computer Architecture,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,MLOps,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Data Processing,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Languages & Compilers,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Indexing,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Computer Science,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Mathematics for Computer Science,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Hardware,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Data Science,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Machine Learning,paper
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,Data Modeling,paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,Computer Architecture,paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,Operating Systems,paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,Information Systems,paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,Data Science,paper
Aerial Robotics and the Quadrotor [From the Guest Editors].,Databases,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Data Management,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Computer Architecture,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Computer Networking,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Data Processing,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,MLOps,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Operating Systems,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Big Data,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Mathematics for Computer Science,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Information Systems,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Data structures & Algorithms,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Hardware,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Data Science,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Databases,paper
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Machine Learning,paper
Comparing Data Mining Models in Academic Analytics.,Data Management,paper
Comparing Data Mining Models in Academic Analytics.,Computer Architecture,paper
Comparing Data Mining Models in Academic Analytics.,MLOps,paper
Comparing Data Mining Models in Academic Analytics.,Data Processing,paper
Comparing Data Mining Models in Academic Analytics.,Operating Systems,paper
Comparing Data Mining Models in Academic Analytics.,Indexing,paper
Comparing Data Mining Models in Academic Analytics.,Big Data,paper
Comparing Data Mining Models in Academic Analytics.,Distributed Systems,paper
Comparing Data Mining Models in Academic Analytics.,Data structures & Algorithms,paper
Comparing Data Mining Models in Academic Analytics.,Data Modeling,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Computer Architecture,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Operating Systems,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Information Systems,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Data Science,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Databases,paper
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Machine Learning,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,MLOps,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Big Data,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Distributed Systems,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Computer Science,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Data structures & Algorithms,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Hardware,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Databases,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Machine Learning,paper
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Data Modeling,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Computer Architecture,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Computer Networking,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Mathematics for Computer Science,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Information Systems,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Hardware,paper
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,Data Science,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Computer Architecture,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Data Processing,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Big Data,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Computer Science,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Mathematics for Computer Science,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Data Science,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Machine Learning,paper
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Data Modeling,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Computer Architecture,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,MLOps,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Languages & Compilers,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Data Processing,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Operating Systems,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Indexing,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Big Data,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Hardware,paper
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Databases,paper
Real options analysis of investment in carbon capture and sequestration technology.,Computer Architecture,paper
Real options analysis of investment in carbon capture and sequestration technology.,Languages & Compilers,paper
Real options analysis of investment in carbon capture and sequestration technology.,Operating Systems,paper
Real options analysis of investment in carbon capture and sequestration technology.,Big Data,paper
Real options analysis of investment in carbon capture and sequestration technology.,Computer Science,paper
Real options analysis of investment in carbon capture and sequestration technology.,Mathematics for Computer Science,paper
Real options analysis of investment in carbon capture and sequestration technology.,Information Systems,paper
Real options analysis of investment in carbon capture and sequestration technology.,Hardware,paper
Real options analysis of investment in carbon capture and sequestration technology.,Databases,paper
NFS version 4 Protocol.,Computer Architecture,paper
NFS version 4 Protocol.,MLOps,paper
NFS version 4 Protocol.,Data Processing,paper
NFS version 4 Protocol.,Operating Systems,paper
NFS version 4 Protocol.,Big Data,paper
NFS version 4 Protocol.,Distributed Systems,paper
NFS version 4 Protocol.,Mathematics for Computer Science,paper
NFS version 4 Protocol.,Data structures & Algorithms,paper
NFS version 4 Protocol.,Hardware,paper
NFS version 4 Protocol.,Data Science,paper
NFS version 4 Protocol.,Machine Learning,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Computer Architecture,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,MLOps,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Data Processing,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Computer Networking,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Operating Systems,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Computer Science,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Mathematics for Computer Science,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Information Systems,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Machine Learning,paper
Gaussian beam launching for 3D physical modeling of propagation channels.,Data Modeling,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Computer Architecture,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Computer Networking,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Data Processing,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,MLOps,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Operating Systems,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Distributed Systems,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Computer Science,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Mathematics for Computer Science,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Information Systems,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Data structures & Algorithms,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Hardware,paper
Improved hash and transmission method for larger packets in the RADIUS protocol.,Data Science,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Computer Architecture,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Computer Networking,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Operating Systems,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Computer Science,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Data Science,paper
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Machine Learning,paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Computer Networking,paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",MLOps,paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Distributed Systems,paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Computer Science,paper
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Data Modeling,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Data Management,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Computer Architecture,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,MLOps,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Languages & Compilers,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Data Processing,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Operating Systems,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Big Data,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Distributed Systems,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Computer Science,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Mathematics for Computer Science,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Hardware,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Data Science,paper
PDF/A: A Viable Addition to the Preservation Toolkit.,Databases,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Computer Architecture,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Languages & Compilers,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Indexing,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Big Data,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Distributed Systems,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Mathematics for Computer Science,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Data structures & Algorithms,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Hardware,paper
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Data Science,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Data Management,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Computer Networking,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Languages & Compilers,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Computer Science,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Mathematics for Computer Science,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Information Systems,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Data structures & Algorithms,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Data Science,paper
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Databases,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Data Management,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Computer Architecture,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Data Processing,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Data structures & Algorithms,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Hardware,paper
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Databases,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Data Management,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Computer Architecture,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Computer Networking,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Operating Systems,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Indexing,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Distributed Systems,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Mathematics for Computer Science,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Information Systems,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Hardware,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Databases,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Machine Learning,paper
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,Data Modeling,paper
Explanation and description in computational neuroscience.,Data Science,paper
Explanation and description in computational neuroscience.,MLOps,paper
Explanation and description in computational neuroscience.,Data Processing,paper
Explanation and description in computational neuroscience.,Mathematics for Computer Science,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Data Management,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Computer Architecture,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,MLOps,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Languages & Compilers,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Data Processing,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Operating Systems,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Computer Networking,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Indexing,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Big Data,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Hardware,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Data Science,paper
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Databases,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Data Management,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Computer Architecture,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,MLOps,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Computer Networking,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Operating Systems,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Mathematics for Computer Science,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Information Systems,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Hardware,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Databases,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Machine Learning,paper
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Data Modeling,paper
An unusual chaotic system and its control.,Data Management,paper
An unusual chaotic system and its control.,Computer Networking,paper
An unusual chaotic system and its control.,MLOps,paper
An unusual chaotic system and its control.,Indexing,paper
An unusual chaotic system and its control.,Computer Science,paper
An unusual chaotic system and its control.,Data Science,paper
An unusual chaotic system and its control.,Databases,paper
An unusual chaotic system and its control.,Machine Learning,paper
An unusual chaotic system and its control.,Data Modeling,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Computer Architecture,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Computer Networking,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Big Data,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Computer Science,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Mathematics for Computer Science,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Information Systems,paper
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Data Science,paper
Phone-level pronunciation scoring and assessment for interactive language learning.,MLOps,paper
Phone-level pronunciation scoring and assessment for interactive language learning.,Big Data,paper
Phone-level pronunciation scoring and assessment for interactive language learning.,Computer Science,paper
Phone-level pronunciation scoring and assessment for interactive language learning.,Data structures & Algorithms,paper
Phone-level pronunciation scoring and assessment for interactive language learning.,Hardware,paper
