proceeding,article
7,An efficient volume- rendering algorithm with an analytic approach.
21,"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7."
5,Objective Methods for Reliable Detection of Concealed Depression.
52,Argumentation and CP-Boolean Games.
90,The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.
16,A Semantic Approach to Virtual World Standards.
14,Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).
83,Protocols for reliable data transport in space internet.
94,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.
80,Linear transformations for cross-lingual semantic textual similarity.
11,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices."
1,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.
84,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.
26,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.
15,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels
20,k-Efficient domination: Algorithmic perspective.
83,Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.
8,Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.
71,Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.
34,Private Cloud-Infrastrukturen und Cloud-Plattformen.
98,Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.
48,A clustering detector with graph theory for blind detection of spatial modulation systems.
50,Inferring Bias and Uncertainty in Camera Calibration.
44,Keyword Search Over Probabilistic RDF Graphs.
46,Correlation analysis of target echoes using distributed transmit array.
23,Group Divisible Designs with Block Size Four and Group Type 
38,Informationssysteme in der Medizin.
87,DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.
91,Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.
47,Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?
53,tacmagic: Positron emission tomography analysis in R.
37,Domain-Independent Queries on Databases with External Functions.
38,Ten Hot Topics around Scholarly Publishing.
78,Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.
9,Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.
51,Computing the Newton Polygon of the Implicit Equation.
90,Neutrosophic Logic Based Quantum Computing.
11,On the origin of distribution patterns of motifs in biological networks.
76,Vector quantization of excitation gains in speech coding.
37,Constructing Optimal Highways.
66,Factor copula models for multivariate data.
75,Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.
1,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
11,A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.
63,Maximizing Barber's bipartite modularity is also hard.
26,Incremental holistic controller.
83,Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.
5,Polar permutation graphs are polynomial-time recognisable.
33,Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [
65,Reversible computing and implicit computational complexity.
49,Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.
35,Notes on the simulation of evolution.
44,A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.
77,An autonomous IoT service placement methodology in fog computing.
85,Sybase System 11 Online Capabilities.
21,ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.
98,A new lower bound for the minimum distance of a cyclic code.
74,Dynamic establishment of restorable connections using p.
53,Simulation of a pediatric hospital in evacuation considering groups.
37,"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers."
74,Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.
89,Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.
81,A make-to-stock production/inventory model with MAP arrivals and phase-type demands.
