title,author
Decision-theoretic rough set: A multicost strategy.,Huili Dou
Decision-theoretic rough set: A multicost strategy.,Jingyu Yang
Decision-theoretic rough set: A multicost strategy.,Wei-Zhi Wu
Decision-theoretic rough set: A multicost strategy.,Xiaoning Song
Decision-theoretic rough set: A multicost strategy.,Xibei Yang
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Eckart Altenmüller
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Gottfried Schlaug
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Hans-Jochen Heinze
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Hermann Hinrichs
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Marc Bangert
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Michael Rotte
Shared networks for auditory and motor processing in professional pianists: Evidence from fMRI conjunction.,Thomas Peschel
New tools at the ,Gail Binkley
New tools at the ,Gavin Sherlock
New tools at the ,Marek S. Skrzypek
New tools at the ,Maria C. Costanzo
New tools at the ,Martha B. Arnaud
New tools at the ,Prachi Shah
New tools at the ,Stuart R. Miyasato
Informational and/or transactional websites: Strategic choices in a distribution channel.,Simon Pierre Sigué
Students' patterns of engagement and course performance in a Massive Open Online Course.,Sara McNeil
Students' patterns of engagement and course performance in a Massive Open Online Course.,Trang Phan
Efficient Super Granular SVM Feature Elimination (Super GSVM-FE) model for protein sequence motif information extraction.,Phang C. Tai
Efficient Super Granular SVM Feature Elimination (Super GSVM-FE) model for protein sequence motif information extraction.,Robert W. Harrison
Efficient Super Granular SVM Feature Elimination (Super GSVM-FE) model for protein sequence motif information extraction.,Stephen Pellicer
Efficient Super Granular SVM Feature Elimination (Super GSVM-FE) model for protein sequence motif information extraction.,Yi Pan 0001
A Hardware/Software Prototype of EEG-based BCI System for Home Device Control.,Kais Belwafi
A Hardware/Software Prototype of EEG-based BCI System for Home Device Control.,Olivier Romain
A Hardware/Software Prototype of EEG-based BCI System for Home Device Control.,Ridha Djemal
The distribution of stochastic shrinkage biasing parameters of the Liu type estimator.,Fikri Öztürk
Energy Harvesting for Two-Way OFDM Communications under Hostile Jamming.,Tongtong Li
Energy Harvesting for Two-Way OFDM Communications under Hostile Jamming.,Zhaoxi Fang
Event-triggered control for switched systems with both continuous-time and discrete-time subsystems.,Yijing Wang
Event-triggered control for switched systems with both continuous-time and discrete-time subsystems.,Zhiqiang Zuo 0001
Event-triggered control for switched systems with both continuous-time and discrete-time subsystems.,Zongxian Jia
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Hongseok Kim
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Jaejin Lee
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Jin-Yong Choi
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Jinhyuk Yoon
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Sang Lyul Min
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Sookwan Lee
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Yookun Cho
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Yoon Jae Seong
Hydra: A Block-Mapped Parallel Flash Memory Solid-State Disk Architecture.,Young Hyun Bae
A general variable neighborhood search for solving the uncapacitated r-allocation p-hub median problem.,Nenad Mladenovic
A general variable neighborhood search for solving the uncapacitated r-allocation p-hub median problem.,Raca Todosijevic
A general variable neighborhood search for solving the uncapacitated r-allocation p-hub median problem.,Saïd Hanafi
Accurate and fast URL phishing detector: A convolutional neural network approach.,Marcin Korytkowski
Accurate and fast URL phishing detector: A convolutional neural network approach.,Marcin Wozniak
Accurate and fast URL phishing detector: A convolutional neural network approach.,Qiao Ke
Accurate and fast URL phishing detector: A convolutional neural network approach.,Rafal Scherer
Accurate and fast URL phishing detector: A convolutional neural network approach.,Wei Wei 0006
Fishing Vessels Behavior Identification for Combating IUU Fishing: Enable Traceability at Sea.,Supaporn Kiattisin
"Improving the accuracy of flow units prediction through two committee machine models: An example from the South Pars Gas Field, Persian Gulf Basin, Iran.",Javad Ghiasi-Freez
"Improving the accuracy of flow units prediction through two committee machine models: An example from the South Pars Gas Field, Persian Gulf Basin, Iran.",Mansur Ziaii
Structure Tensor and Guided Filtering-Based Algorithm for Hyperspectral Anomaly Detection.,Tao Jiang
Structure Tensor and Guided Filtering-Based Algorithm for Hyperspectral Anomaly Detection.,Weiying Xie
Structure Tensor and Guided Filtering-Based Algorithm for Hyperspectral Anomaly Detection.,Xiuping Jia
Structure Tensor and Guided Filtering-Based Algorithm for Hyperspectral Anomaly Detection.,Yunsong Li
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Greg Finak
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Jacob Frelinger
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",John Ramey
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Mark M. Davis
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Raphael Gottardo
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Spyros A. Kalams
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Stephen C. De Rosa
"OpenCyto: An Open Source Infrastructure for Scalable, Robust, Reproducible, and Automated, End-to-End Flow Cytometry Data Analysis.",Wenxin Jiang
The Use of Spatially Random Base Stations in Cloud Radio Access Networks.,Zhiguo Ding 0001
"Modes of making smart cities: Or, practices of variegated smart urbanism.",Sophia Maalsen
Scene analysis for effective visual search in rough three-dimensional-modeling scenes.,Xiaopeng Hu
Two-tier particle swarm optimization protocol for clustering and routing in wireless sensor network.,Riham S. Y. Elhabyan
Regulation Games Between Government and Competing Companies: Oil Spills and Other Disasters.,May Cheung
PatchView: A Python Package for Patch-clamp Data Analysis and Visualization.,Xiaolong Jiang
Dynamic sampling of text streams and its application in text analysis.,Jiahui Zhu
Dynamic sampling of text streams and its application in text analysis.,Jiajia Huang
Dynamic sampling of text streams and its application in text analysis.,Min Peng
Dynamic sampling of text streams and its application in text analysis.,Yanchun Zhang
Separation of Antiweb-Wheel Inequalities Over Stable Set Polytopes.,Sven de Vries
Supervised neighborhood graph construction for semi-supervised classification.,Mohammad H. Rohban
Guest Editorial for the 25th International Conference on Genome Informatics (GIW/ISCB-Asia 2014).,Kiyoshi Asai
Guest Editorial for the 25th International Conference on Genome Informatics (GIW/ISCB-Asia 2014).,Paul Horton
Guest Editorial for the 25th International Conference on Genome Informatics (GIW/ISCB-Asia 2014).,Tetsuo Shibuya
Bernstein polynomials and learning theory.,Tomas Sauer
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Henry Brodaty
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Jiyang Jiang
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Julian N. Trollor
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Nicole A. Kochan
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Perminder S. Sachdev
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Simone Reppermund
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Tao Liu
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Wei Wen
Longitudinal changes in sulcal morphology associated with late-life aging and MCI.,Yue Cui 0003
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Faisal Izhar
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Hamida Ilyas
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Mahvish Ponum
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Muhammad Tahir Mahmood
Detection & recognition of veiled and unveiled human face on the basis of eyes using transfer learning.,Sajid Ali
Classical and Bayesian inferential approaches using Lomax model under progressively type-I hybrid censoring.,Mehri Noori Asl
Classical and Bayesian inferential approaches using Lomax model under progressively type-I hybrid censoring.,Reza Arabi Belaghi
Error-Optimized Sparse Representation for Single Image Rain Removal.,Shih-Chia Huang
Error-Optimized Sparse Representation for Single Image Rain Removal.,Sy-Yen Kuo
Deep Artificial Noise: Deep Learning-Based Precoding Optimization for Artificial Noise Scheme.,Jae-Mo Kang
Deep Artificial Noise: Deep Learning-Based Precoding Optimization for Artificial Noise Scheme.,Jeongseok Ha
Deep Artificial Noise: Deep Learning-Based Precoding Optimization for Artificial Noise Scheme.,Sangseok Yun
Energy-Barycenter Based Waveform Centroid Algorithm for Pulse Lidar Ranging System.,Chunhui Wang
Energy-Barycenter Based Waveform Centroid Algorithm for Pulse Lidar Ranging System.,Dongbin Guo
Energy-Barycenter Based Waveform Centroid Algorithm for Pulse Lidar Ranging System.,Lijun Wang
Enumeration of Branched Coverings of Nonorientable Surfaces With Cyclic Branch Points.,Jin Ho Kwak
Enumeration of Branched Coverings of Nonorientable Surfaces With Cyclic Branch Points.,Valery A. Liskovets
Formal Feature Interpretation of Hybrid Systems.,Goran Frehse
Formal Feature Interpretation of Hybrid Systems.,Pallab Dasgupta
Information-Seeking Support Systems [Guest Editors' Introduction].,Ryen W. White
Quantitative impact analysis of application-level attacks on a robotic platform.,Bassam Jamil Mohd
Quantitative impact analysis of application-level attacks on a robotic platform.,Khalil M. Ahmad Yousef
Quantitative impact analysis of application-level attacks on a robotic platform.,Salah Abu Ghalyon
Discrete Optimization with Fuzzy Constraints.,Primoz Jelusic
CADAC: A Controlled-Precision Decimal Arithmetic Unit.,Thomas E. Hull
CADAC: A Controlled-Precision Decimal Arithmetic Unit.,V. Carl Hamacher
3DupIC: An Underwater Scan Matching Method for Three-Dimensional Sonar Registration.,António Ferreira
3DupIC: An Underwater Scan Matching Method for Three-Dimensional Sonar Registration.,Aníbal Matos
3DupIC: An Underwater Scan Matching Method for Three-Dimensional Sonar Registration.,Eduardo P. da Silva
3DupIC: An Underwater Scan Matching Method for Three-Dimensional Sonar Registration.,José Almeida 0001
Interpreting RFID tracking data for simultaneously moving objects: An offline sampling-based approach.,Filippo Furfaro
Interpreting RFID tracking data for simultaneously moving objects: An offline sampling-based approach.,Francesco Parisi
Interpreting RFID tracking data for simultaneously moving objects: An offline sampling-based approach.,Sergio Flesca
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Frances Di Clemente
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Gregory Riedlinger
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Hossein Khiabanian
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Jui Wan Loh
All-FIT: allele-frequency-based imputation of tumor purity from high-depth sequencing data.,Shridar Ganesan
An Improved robust Adaptive Fuzzy controller for MIMO Systems.,Janan Zaytoon
An Improved robust Adaptive Fuzzy controller for MIMO Systems.,Najib Essounbouli
Does the social platform established by MMORPGs build social and psychological capital?,Chiu-Ping Hsu
Distributed Kalman Filtering With Finite-Time Max-Consensus Protocol.,Ya Zhang 0001
Distributed Kalman Filtering With Finite-Time Max-Consensus Protocol.,Yu-Ping Tian
A Novel Density-based Technique for Outlier Detection of High Dimensional Data Utilizing Full Feature Space.,Mujeeb ur Rehman
New techniques for untestable fault identification in sequential circuits.,Michael S. Hsiao
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Jiabei Tang
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Jin Han
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Miao Liu
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Minpeng Xu
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Shanguang Chen
Optimizing SSVEP-Based BCI System towards Practical High-Speed Spelling.,Tingfei Dai
A Posteriori Error Analysis for the Use of Lookup Tables in Cardiac Electrophysiology Simulations.,Jonathan Cooper
A Posteriori Error Analysis for the Use of Lookup Tables in Cardiac Electrophysiology Simulations.,Jonathan P. Whiteley
Context of Problem-Solving Systems.,R. R. Oldehoeft
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Xiaobo Zhang
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Xiaoxiang Zheng
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Yueming Wang
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Zhaohui Wu 0001
Establishing Point Correspondence of 3D Faces Via Sparse Facial Deformable Model.,Zhenfang Hu
Halftoning with minimum spanning trees and its application to maze-like images.,Kohei Inoue
Learning Reliable Visual Saliency For Model Explanations.,Hang Su 0006
Learning Reliable Visual Saliency For Model Explanations.,Xiaolin Hu 0001
Learning Reliable Visual Saliency For Model Explanations.,Yulong Wang
Positive and smooth Gordon-Wixom coordinates.,Weiyin Ma
Positive and smooth Gordon-Wixom coordinates.,Yajuan Li
Positive and smooth Gordon-Wixom coordinates.,Zhihao Wang
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Junaid Ahmed
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Khursheed Ali
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Muhammad Irshad Nazeer
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Muhammad Ismail
Cloud-based vs. blockchain-based IoT: a comparative survey and way forward.,Raheel Ahmed Memon
Repression of Satisfaction as the Basis of the Emergence of Old World Complex Societies.,Mohamed Nemiche
Repression of Satisfaction as the Basis of the Emergence of Old World Complex Societies.,Saida Hachimi El Idrissi
Computational source term estimation of the Gaussian puff dispersion.,Jianwen Zhang
Computational source term estimation of the Gaussian puff dispersion.,Junkai Yi
Orthogonal double covers of complete graphs by certain spanning subgraphs.,Ramadan A. El-Shanawany
Advantages of Nonlinear-Programming-Based Methodologies for Inequality Path-Constrained Optimal Control Problems - A Numerical Study.,Shivakumar Kameswaran
Inventory Integration with Rational Consumers.,Robert Swinney
On the use of kernel structure for blind equalization.,Jacob H. Gunther
A robust decentralized decision-making approach for mobile supply chains under uncertainty.,Jörn Schönberger
The parallelized perspective shear-warp algorithm for volume rendering.,Ulrich Lang 0002
A discrete post-processing method for structural optimization.,Shenghua Zhang
A discrete post-processing method for structural optimization.,Xiaoming Yu
A WBAN-based Real-time Electroencephalogram Monitoring System: Design and Implementation.,Jungtae Lee
A WBAN-based Real-time Electroencephalogram Monitoring System: Design and Implementation.,Wanqing Wu
Real-Time Game Design of Pac-Man Using Fuzzy Logic.,Brady W. King
Real-Time Game Design of Pac-Man Using Fuzzy Logic.,Luke A. Reisner
Chromatic Sensor to Determine Oxygen Presence for Applications in Intelligent Packaging.,Pilar Hernández-Muñoz
Chromatic Sensor to Determine Oxygen Presence for Applications in Intelligent Packaging.,Rafael Gavara
Chromatic Sensor to Determine Oxygen Presence for Applications in Intelligent Packaging.,Virginia Muriel-Galet
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Joseph Gorski
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Jun Li
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Tony Quezon
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Vu Trinh
HPCMP CREATE-SH Integrated Hydrodynamic Design Environment.,Wesley Wilson
A framework for information dissemination in social networks using Hawkes processes.,Julio Cesar Louzada Pinto
A framework for information dissemination in social networks using Hawkes processes.,Tijani Chahed
A Probabilistic Framework to Detect Buildings in Aerial and Satellite Images.,Cem Ünsalan
Type Synthesis and Kinematics Performance Analysis of a Class of 3T2R Parallel Mechanisms with Large Output Rotational Angles.,Haiqiang Zhang
Type Synthesis and Kinematics Performance Analysis of a Class of 3T2R Parallel Mechanisms with Large Output Rotational Angles.,Hairong Fang
Monitoring Mobile Information Processing Systems.,Oleg Panarin
Depth-aware total variation regularization for underwater image dehazing.,Xueyan Ding
Depth-aware total variation regularization for underwater image dehazing.,Yafei Wang
Depth-aware total variation regularization for underwater image dehazing.,Zheng Liang
Farming system performance and water use efficiency in the Tunisian semi-arid region: data envelopment analysis approach.,Fraj Chemak
Farming system performance and water use efficiency in the Tunisian semi-arid region: data envelopment analysis approach.,Jean-Philippe Boussemart
Scale Accuracy Evaluation of Image-Based 3D Reconstruction Strategies Using Laser Photogrammetry.,Javier Escartin
Scale Accuracy Evaluation of Image-Based 3D Reconstruction Strategies Using Laser Photogrammetry.,Klemen Istenic
Scale Accuracy Evaluation of Image-Based 3D Reconstruction Strategies Using Laser Photogrammetry.,Nuno Gracias
Scale Accuracy Evaluation of Image-Based 3D Reconstruction Strategies Using Laser Photogrammetry.,Rafael García
A novel discrete water wave optimization algorithm for blocking flow-shop scheduling problem with sequence-dependent setup times.,Weishi Shao
A novel discrete water wave optimization algorithm for blocking flow-shop scheduling problem with sequence-dependent setup times.,Zhongshi Shao
Towards a secure and lightweight network function virtualisation environment.,Marco de Benedictis
Towards a secure and lightweight network function virtualisation environment.,Paolo Smiraglia
Baker Domains of Period Two for the Family.,Jefferson E. King Davalos
Baker Domains of Period Two for the Family.,Marco A. Montes de Oca Balderas
Design of millisecond IP network USB hub for remote experiment education.,Tiefang Chen
Design of millisecond IP network USB hub for remote experiment education.,Yansong Cui
Finite-Time Stabilization for a Class of Nonlinear Singular Systems.,Jianxin Wang 0003
Finite-Time Stabilization for a Class of Nonlinear Singular Systems.,Xiaofu Ji
Finite-Time Stabilization for a Class of Nonlinear Singular Systems.,Xuehua Liu
A regularization method for the numerical solution of periodic Stokes flow.,Elizabeth L. Bouzarth
A regularization method for the numerical solution of periodic Stokes flow.,Karin Leiderman
A regularization method for the numerical solution of periodic Stokes flow.,Ricardo Cortez
Comprehensive optimization of the one-block and two-block train formation plan.,Jie Xiao
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Neal N. Xiong
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Rui Lv
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Xingming Sun
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Yun-Qing Shi 0001
A Novel Weber Local Binary Descriptor for Fingerprint Liveness Detection.,Zhihua Xia
Bimodal renewal processes models of highway vehicle loads.,Gang Mei
Bimodal renewal processes models of highway vehicle loads.,Quan Qin
"Reply to ""Comments on 'New method of performance analysis for diversity reception with correlated Rayleigh-fading signals'"".",Guoan Bi
"Reply to ""Comments on 'New method of performance analysis for diversity reception with correlated Rayleigh-fading signals'"".",Liquan Fang
Fast Estimation of the Blood-Brain Barrier Permeability by Pulling a Ligand through a Lipid Membrane.,Nguyen Quoc Thai
Fast Estimation of the Blood-Brain Barrier Permeability by Pulling a Ligand through a Lipid Membrane.,Panagiotis E. Theodorakis
Communication Requirements in Microgrids: A Practical Survey.,Corneliu Marinescu
Communication Requirements in Microgrids: A Practical Survey.,Doris Sáez Hueichapan
Communication Requirements in Microgrids: A Practical Survey.,Ioan Serban
Communication Requirements in Microgrids: A Practical Survey.,Juan S. Gómez
Communication Requirements in Microgrids: A Practical Survey.,Sandra Céspedes
Model predictive control of linear systems over networks with data quantizations and packet losses.,Xiaoming Tang
Minimum-Variance Recursive Filtering for Two-Dimensional Systems With Degraded Measurements: Boundedness and Monotonicity.,Jinling Liang
Minimum-Variance Recursive Filtering for Two-Dimensional Systems With Degraded Measurements: Boundedness and Monotonicity.,Xiaohui Liu 0001
Minimum-Variance Recursive Filtering for Two-Dimensional Systems With Degraded Measurements: Boundedness and Monotonicity.,Zidong Wang
Topological Superconducting Transition Characterized by a Modified Real-Space-Pfaffian Method and Mobility Edges in a One-Dimensional Quasiperiodic Lattice.,Xianlong Gao
Topological Superconducting Transition Characterized by a Modified Real-Space-Pfaffian Method and Mobility Edges in a One-Dimensional Quasiperiodic Lattice.,Yufei Zhu
The number of crossings in multigraphs with no empty lens.,János Pach
The number of crossings in multigraphs with no empty lens.,Michael Kaufmann 0001
The number of crossings in multigraphs with no empty lens.,Torsten Ueckerdt
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Gilbert Hendry
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Johnnie Chan
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Keren Bergman
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Luca P. Carloni
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Nadya Travinin Bliss
Time-division-multiplexed arbitration in silicon nanophotonic networks-on-chip for high-performance chip multiprocessors.,Vitaliy Gleyzer
Time- and Frequency-Domain Fault Detection in a VSC-Interfaced Experimental DC Test System.,Kuntal Satpathi
Time- and Frequency-Domain Fault Detection in a VSC-Interfaced Experimental DC Test System.,Nagesh Geddada
Time- and Frequency-Domain Fault Detection in a VSC-Interfaced Experimental DC Test System.,Yew Ming Yeap
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Muhammad Khurram Khan
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Muhammad Shiraz
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Qaisar Shaheen
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Rizwan Akhtar
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Shariq Aziz Butt
Hierarchical Routing Protocols for Wireless Sensor Networks: Functional and Performance Analysis.,Wang Changda 0001
A comprehensive study of online event tracking algorithms in social networks.,Saeed Farzi
An Evaluation of CPU Efficiency Under Dynamic Quantum Allocation.,U. Narayan Bhat
Performance Evaluation of Individuals in Workgroups with Shared Outcomes Using DEA.,Nannan Liang
Performance Evaluation of Individuals in Workgroups with Shared Outcomes Using DEA.,Yao Chen
Performance Evaluation of Individuals in Workgroups with Shared Outcomes Using DEA.,Yong Zha
Multi-class imbalanced big data classification on Spark.,William C. Sleeman IV
SINR Prediction in Presence of Correlated Shadowing in Cellular Networks.,Hajer Braham
SINR Prediction in Presence of Correlated Shadowing in Cellular Networks.,Imed Hadj-Kacem
SINR Prediction in Presence of Correlated Shadowing in Cellular Networks.,Sana Ben Jemaa
Fast Motion Estimation Algorithm Based on Complex Wavelet Transform.,L. Cheriet
Fast Motion Estimation Algorithm Based on Complex Wavelet Transform.,Nadjiba Terki
Fast Motion Estimation Algorithm Based on Complex Wavelet Transform.,Noureddine Doghmane
Improving Recommendation for Effective Personalization in Context-Aware Data Using Novel Neural Network.,T. Abirami
QoS-based Task Group Deployment on Grid by Learning the Performance Data.,Ian Chai
QoS-based Task Group Deployment on Grid by Learning the Performance Data.,Nithiapidary Muthuvelu
QoS-based Task Group Deployment on Grid by Learning the Performance Data.,Rajkumar Buyya
Improved stability conditions of time-varying delay systems based on new Lyapunov functionals.,Tae H. Lee
Semisupervised Stacked Autoencoder With Cotraining for Hyperspectral Image Classification.,Shaoguang Zhou
Semisupervised Stacked Autoencoder With Cotraining for Hyperspectral Image Classification.,Zhaohui Xue
Multi-Agent Architecture for Intelligent Tutoring Systems.,Fernando De Arriaga-Gómez
Towards passive cooling solutions for mobile access network.,Denise Mondieig
Towards passive cooling solutions for mobile access network.,Hasna Louahlia-Gualous
Towards passive cooling solutions for mobile access network.,Stéphane Le Masson
Stochastic Modeling of the Static and Dynamic Multichannel Access Methods Enabling 40/80/160 MHz Channel Bonding in the VHT WLANs.,Mohand Yazid
Formalization of Bachmair and Ganzinger's Ordered Resolution Prover.,Dmitriy Traytel
Formalization of Bachmair and Ganzinger's Ordered Resolution Prover.,Jasmin Christian Blanchette
Formalization of Bachmair and Ganzinger's Ordered Resolution Prover.,Uwe Waldmann
Time-Varying Autoregressive Model-Based Multiple Modes Particle Filtering Algorithm for Respiratory Rate Extraction From Pulse Oximeter.,Ki H. Chon
Exact Face-isoperimetric Inequalities.,Imre Leader
Thermal Model Identification of Computing Nodes in High-Performance Computing Systems.,Luca Benini
Thermal Model Identification of Computing Nodes in High-Performance Computing Systems.,Roberto Diversi
Bivariate Pseudo-Gompertz distribution and concomitants of its order statistics.,Ömer L. Gebizlioglu
A New Localization System for Indoor Service Robots in Low Luminance and Slippery Indoor Environment Using Afocal Optical Flow Sensor Based Sensor Fusion.,Dong-Il Cho
A New Localization System for Indoor Service Robots in Low Luminance and Slippery Indoor Environment Using Afocal Optical Flow Sensor Based Sensor Fusion.,Tae-Jae Lee
An efficient aggregation scheme resisting on malicious data mining attacks for smart grid.,Mingwu Zhang
An efficient aggregation scheme resisting on malicious data mining attacks for smart grid.,Yajing Liu
An efficient aggregation scheme resisting on malicious data mining attacks for smart grid.,Zhe Xia
Social Software.,Thomas Wilde
Validación de un Sistema de Diálogo Mediante el uso de diferentes umbrales de poda en el proceso de reconocimiento automático de voz.,Jesús Esteban Díaz Verdejo
Validación de un Sistema de Diálogo Mediante el uso de diferentes umbrales de poda en el proceso de reconocimiento automático de voz.,Juan M. López-Soler
Validación de un Sistema de Diálogo Mediante el uso de diferentes umbrales de poda en el proceso de reconocimiento automático de voz.,Ramón López-Cózar Delgado
Application of neural network to humanoid robots--development of co-associative memory model.,Hideaki Takanobu
Application of neural network to humanoid robots--development of co-associative memory model.,Hiroyasu Miwa
Application of neural network to humanoid robots--development of co-associative memory model.,Kazuko Itoh
Robust job-shop scheduling under deterministic and stochastic unavailability constraints due to preventive and corrective maintenance.,Ahmed Saif
Robust job-shop scheduling under deterministic and stochastic unavailability constraints due to preventive and corrective maintenance.,Alireza Ghasemi
Robust job-shop scheduling under deterministic and stochastic unavailability constraints due to preventive and corrective maintenance.,Rafael Lucas Costa Souza
Algorithms for the maximum k-club problem in graphs.,Shahram Shahinpour
Fractional-order model of the disease Psoriasis: A control based mathematical approach.,Fahad Al Basir
Fractional-order model of the disease Psoriasis: A control based mathematical approach.,Priti Kumar Roy
Fractional-order model of the disease Psoriasis: A control based mathematical approach.,Xianbing Cao
"A framework for conceptualizing, representing, and analyzing distributed interaction.",Nathan Dwyer
"A framework for conceptualizing, representing, and analyzing distributed interaction.",Ravikiran Vatrapu
"A framework for conceptualizing, representing, and analyzing distributed interaction.",Richard Medina
An expert system for optimising thyroid disease diagnosis.,Nallamuthu Rajkumar
Detection of Apple Defects Based on the FCM-NPGA and a Multivariate Image Analysis.,Juan Hu
Detection of Apple Defects Based on the FCM-NPGA and a Multivariate Image Analysis.,Mingfang He
Detection of Apple Defects Based on the FCM-NPGA and a Multivariate Image Analysis.,Wenzhuo Zhang
Verteiltparametrische Modellierung und Regelung eines thermischen Festbettspeichers.,Felix Nolteernsting
Verteiltparametrische Modellierung und Regelung eines thermischen Festbettspeichers.,Lorenz Pyta
"One for All, All for One: The Peculiar Dynamics of TNF-Receptor-Associated Factor (TRAF2) Subunits.",Anna Maria Caccuri
"One for All, All for One: The Peculiar Dynamics of TNF-Receptor-Associated Factor (TRAF2) Subunits.",Giampiero Mei
"One for All, All for One: The Peculiar Dynamics of TNF-Receptor-Associated Factor (TRAF2) Subunits.",Luisa Di Paola
"One for All, All for One: The Peculiar Dynamics of TNF-Receptor-Associated Factor (TRAF2) Subunits.",Velia Minicozzi
Bounding the Running Time of Algorithms for Scheduling and Packing Problems.,Kati Land
